q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
6.76950269218628	1.29225809152493e-11	6.86842695331252	6.49136971661317e-12	917	HGDP1KG	q1	nfe-sas	pruneall	StandingHeight	no-FGr	0
-0.95218601067911	0.341002654435702	-0.483234596862242	0.628929172816793	784	HGDP1KG	q1	nfe-sas	pruneall	StandingHeight	no-FGr	40
-0.0276844953888334	0.977913789852067	0.475311145355701	0.63456521623107	871	HGDP1KG	q1	nfe-sas	pruneall	StandingHeight	FGr-LOCO	0
-0.808076829733604	0.419046355059591	-0.266434182928588	0.789904842150434	782	HGDP1KG	q1	nfe-sas	pruneall	StandingHeight	FGr-LOCO	40
4.99234811955982	5.96496166079879e-07	4.90464910123831	9.35945040907833e-07	917	HGDP1KG	q1	nfe-afr	pruneall	StandingHeight	no-FGr	0
-1.65130552768553	0.0986762041520613	-1.89918133800005	0.0575406375664284	785	HGDP1KG	q1	nfe-afr	pruneall	StandingHeight	no-FGr	40
-0.638516975810769	0.523137207132811	-0.812438775631525	0.416539904114864	879	HGDP1KG	q1	nfe-afr	pruneall	StandingHeight	FGr-LOCO	0
-1.5882930660332	0.112220084721635	-1.81361337451801	0.0697372698996149	781	HGDP1KG	q1	nfe-afr	pruneall	StandingHeight	FGr-LOCO	40
4.76260326945179	1.91111338792704e-06	4.76048180869148	1.93131342587467e-06	917	HGDP1KG	q1	nfe-amr	pruneall	StandingHeight	no-FGr	0
-0.601298368081238	0.547641276321018	-0.275593954726255	0.782859953350719	784	HGDP1KG	q1	nfe-amr	pruneall	StandingHeight	no-FGr	40
0.0388657346103711	0.968997435736307	0.424143846386848	0.671460910288392	882	HGDP1KG	q1	nfe-amr	pruneall	StandingHeight	FGr-LOCO	0
-0.741789589967538	0.458214828771176	-0.322991707420713	0.746701522293539	784	HGDP1KG	q1	nfe-amr	pruneall	StandingHeight	FGr-LOCO	40
2.8260236325378	0.00471297867806791	2.05632691336487	0.0397510158166698	917	HGDP1KG	q1	sas-afr	pruneall	StandingHeight	no-FGr	0
-1.42400108663272	0.154446157514245	-1.83591489311879	0.0663702446863702	783	HGDP1KG	q1	sas-afr	pruneall	StandingHeight	no-FGr	40
-0.836392765627622	0.402933981096257	-1.2190417875335	0.222828332477167	886	HGDP1KG	q1	sas-afr	pruneall	StandingHeight	FGr-LOCO	0
-1.39994856538045	0.161528721372562	-1.78156711533745	0.0748198510469207	783	HGDP1KG	q1	sas-afr	pruneall	StandingHeight	FGr-LOCO	40
-1.24003538619028	0.214962305984697	-1.66412055600298	0.096088339923591	917	HGDP1KG	q1	sas-amr	pruneall	StandingHeight	no-FGr	0
0.223570770762467	0.82309130952226	0.186375307133817	0.852150455213062	783	HGDP1KG	q1	sas-amr	pruneall	StandingHeight	no-FGr	40
0.298041192688373	0.765671724242238	-0.595093441113577	0.551781012644059	893	HGDP1KG	q1	sas-amr	pruneall	StandingHeight	FGr-LOCO	0
-0.0901040170484785	0.928204557064001	-0.0725675993201916	0.942150210714206	778	HGDP1KG	q1	sas-amr	pruneall	StandingHeight	FGr-LOCO	40
-3.30965440405503	0.000934112289954916	-2.78282874145881	0.00538872423094027	917	HGDP1KG	q1	afr-amr	pruneall	StandingHeight	no-FGr	0
1.44265290744424	0.149118271373484	1.8097376536341	0.0703364803967399	786	HGDP1KG	q1	afr-amr	pruneall	StandingHeight	no-FGr	40
1.1306223588742	0.258214072643363	1.28835229882189	0.197623355522811	871	HGDP1KG	q1	afr-amr	pruneall	StandingHeight	FGr-LOCO	0
1.26648721268622	0.205338704669915	1.49252825692495	0.135560715264486	782	HGDP1KG	q1	afr-amr	pruneall	StandingHeight	FGr-LOCO	40
34.3179195354903	4.24120344699453e-258	47.1571344766346	0	1454	HGDP1KG	q2	eurasia-lat	pruneall	StandingHeight	no-FGr	0
-1.77802163387536	0.0754003018329326	-0.923415681931941	0.355790622484487	796	HGDP1KG	q2	eurasia-lat	pruneall	StandingHeight	no-FGr	40
-1.31716374216285	0.18778374454377	0.455084093942933	0.649048740760242	906	HGDP1KG	q2	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	0
-2.02571404738534	0.0427940963344559	-1.05059634683967	0.293444019614463	797	HGDP1KG	q2	eurasia-lat	pruneall	StandingHeight	FGr-LOCO	40
-27.6770398740926	1.31960410626488e-168	-34.50855096067	5.97048450850429e-261	1454	HGDP1KG	q2	eurasia-long	pruneall	StandingHeight	no-FGr	0
0.622834311947304	0.533393407961077	-0.234309373204141	0.814744809682071	797	HGDP1KG	q2	eurasia-long	pruneall	StandingHeight	no-FGr	40
1.02309652574493	0.306262209465949	-0.210813449635104	0.833032843103078	918	HGDP1KG	q2	eurasia-long	pruneall	StandingHeight	FGr-LOCO	0
0.622371283672734	0.533697758352298	-0.467156436819161	0.640387958575012	805	HGDP1KG	q2	eurasia-long	pruneall	StandingHeight	FGr-LOCO	40
2.05461252632677	0.039916444806987	2.37936972189549	0.0173422719773258	1492	HGDP1KG	q2	eur-lat	pruneall	StandingHeight	no-FGr	0
0.657608498529278	0.510789732205184	0.25299591813395	0.800271367472938	914	HGDP1KG	q2	eur-lat	pruneall	StandingHeight	no-FGr	40
-0.22827117644713	0.819435430907145	-1.03409164822296	0.301093320294341	1436	HGDP1KG	q2	eur-lat	pruneall	StandingHeight	FGr-LOCO	0
1.16510690188889	0.243975723452335	0.930430620115465	0.352148170794406	910	HGDP1KG	q2	eur-lat	pruneall	StandingHeight	FGr-LOCO	40
-13.8278463390071	1.73126586749266e-43	-16.9974867959896	8.57167981673289e-65	1492	HGDP1KG	q2	eur-long	pruneall	StandingHeight	no-FGr	0
1.55235335823577	0.120577697132415	2.46670601561267	0.0136362261265488	909	HGDP1KG	q2	eur-long	pruneall	StandingHeight	no-FGr	40
0.198239711426759	0.842857518749001	0.815196534454923	0.414959821265663	1021	HGDP1KG	q2	eur-long	pruneall	StandingHeight	FGr-LOCO	0
1.56299007245303	0.118054929900496	2.51209981226074	0.0120015138729822	910	HGDP1KG	q2	eur-long	pruneall	StandingHeight	FGr-LOCO	40
-0.379787990477907	0.704102797803241	0.683666062563157	0.494186058289914	1496	HGDP1KG	q2	sdi-eur	pruneall	StandingHeight	no-FGr	0
0.225498848310236	0.821591221216062	1.25936900642889	0.207897078827571	924	HGDP1KG	q2	sdi-eur	pruneall	StandingHeight	no-FGr	40
-0.274923661799671	0.783374887869708	0.862040481384095	0.388665241797911	1497	HGDP1KG	q2	sdi-eur	pruneall	StandingHeight	FGr-LOCO	0
0.351766759355488	0.725013189418205	1.36415216922961	0.172519678379806	924	HGDP1KG	q2	sdi-eur	pruneall	StandingHeight	FGr-LOCO	40
-25.1680639615696	8.96431299263608e-140	-32.6458322214833	9.18237952756381e-234	1450	HGDP1KG	q2	eas-nfe	pruneall	StandingHeight	no-FGr	0
