D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
1.27088919153943e-05	1.0000100001e-05	2.78141802272126e-13	1.40169488590324e-07	1.27088919153943e-05	99999	3.89537490578562e-12	1.02155680145219e-11	0.381317504836554	0.618682495163446	HGDP1KG	e10	eas-afr	pruneall
9.07811116591521e-06	1.0000100001e-05	1.4180100949459e-13	0.992825794748499	9.07811116591521e-06	99999	4.44341614068156e-12	7.29710054001356e-12	0.608929000815618	0.391070999184382	HGDP1KG	e10	eas-amr	pruneall
2.08829495646524e-05	1.0000100001e-05	7.50959990054574e-13	1.78749978675293e-36	2.08829495646524e-05	99999	6.33274783483774e-12	1.6785978906873e-11	0.377264136334927	0.622735863665073	HGDP1KG	e10	nfe-sas	pruneall
2.40779943804498e-05	1.0000100001e-05	9.98918213011334e-13	2.33123015391988e-45	2.40779943804498e-05	99999	4.43180773293452e-12	1.93541963283847e-11	0.228984332789622	0.771015667210378	HGDP1KG	e10	nfe-afr	pruneall
1.12927731703737e-05	1.0000100001e-05	2.19450007822865e-13	0.00289502710401493	1.12927731703737e-05	99999	5.26080837718075e-12	9.07727386167968e-12	0.579558186449524	0.420441813550476	HGDP1KG	e10	nfe-amr	pruneall
1.64366776758663e-05	1.0000100001e-05	4.65398210849551e-13	1.95466524583606e-21	1.64366776758663e-05	99999	3.85716836908756e-12	1.32120093434107e-11	0.291944114542371	0.708055885457629	HGDP1KG	e10	sas-afr	pruneall
8.52442417843618e-06	1.0000100001e-05	1.2501132354837e-13	0.999985012256377	8.52442417843618e-06	99999	4.47572504048471e-12	6.85203993858564e-12	0.653195994273286	0.346804005726714	HGDP1KG	e10	sas-amr	pruneall
2.0189638832582e-05	1.0000100001e-05	7.02281525770551e-13	2.56826864756968e-34	2.0189638832582e-05	99999	4.0832811188406e-12	1.62286869741213e-11	0.251608840897105	0.748391159102895	HGDP1KG	e10	afr-amr	pruneall
0.000211473985986465	1.0000100001e-05	7.71085614415362e-11	8.47424822677348e-117	0.000211473985986465	99999	5.16116399713501e-12	1.63297222823084e-10	0.0316059508417151	0.968394049158285	HGDP1KG	e50	eurasia-lat	pruneall
0.000135688996062186	1.0000100001e-05	3.17433667730642e-11	1.52777551589891e-110	0.000135688996062186	99999	4.98142058310311e-12	1.0477712481395e-10	0.0475430165882915	0.952456983411708	HGDP1KG	e50	eurasia-long	pruneall
5.72424116881712e-05	1.0000100001e-05	5.64857240688237e-12	3.18648079741844e-88	5.72424116881712e-05	99999	2.86212012665658e-12	3.52771156368726e-11	0.0811324870241097	0.91886751297589	HGDP1KG	e50	eur-lat	pruneall
4.2613039458616e-05	1.0000100001e-05	3.13036277574815e-12	3.5801281883354e-76	4.2613039458616e-05	99999	2.02206096505723e-12	2.62613869032853e-11	0.0769974934112969	0.923002506588703	HGDP1KG	e50	eur-long	pruneall
3.30216127608306e-05	1.0000100001e-05	1.87909840392798e-12	1.34573950691479e-63	3.30216127608306e-05	99999	3.53589433171032e-12	1.9817541545087e-11	0.178422450820441	0.821577549179559	HGDP1KG	e50	sdi-eur	pruneall
0.000146395958019312	1.0000100001e-05	3.69510276657974e-11	8.34405464207211e-112	0.000146395958019312	99999	5.42673582091557e-12	1.17022306010038e-10	0.04637351634867	0.95362648365133	HGDP1KG	e50	eas-nfe	pruneall
4.52252923526587e-05	1.0000100001e-05	3.52536062540856e-12	7.8986009342025e-79	4.52252923526587e-05	99999	4.66180601470354e-12	3.61510527523452e-11	0.128953534123598	0.871046465876402	HGDP1KG	e50	eas-sas	pruneall
