PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
20	0.0259990245324836	0.000675949276640684	0.00640221698938158	0.0455758698597548	0.660518900627235	0.112870790730123	0.000215804580458046	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
21	-0.00158714039724849	2.5190146405781e-06	-0.0211865513268041	0.0180134899696571	0.660521419641875	0.112870790730123	0.000214677467746775	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
22	0.00267246319800822	7.14205954470833e-06	-0.016928493526494	0.0222713666155785	0.66052856170142	0.112870790730123	0.000213010301030103	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
23	0.0154811554017133	0.000239666172571996	-0.00412016478914159	0.0350705838759169	0.660768227873992	0.112870790730123	0.000211946194619462	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
24	0.0968790398222345	0.00938554835687811	0.077425989072572	0.116258354280341	0.67015377623087	0.112870790730123	0.000211618161816182	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
25	0.0100191567675398	0.000100383502332538	-0.00958279506721852	0.0296134114012363	0.670254159733203	0.112870790730123	0.000210910091009101	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
26	0.00837981069668222	7.02212273122298e-05	-0.0112221024782774	0.0279752859014377	0.670324380960515	0.112870790730123	0.00021020602060206	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
27	-0.0144439223908097	0.000208626894031735	-0.0340343572020888	0.00515760773981583	0.670533007854546	0.112870790730123	0.00020966896689669	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
28	-0.000291453730201694	8.49452768484821e-08	-0.0198914101023794	0.0193087265732865	0.670533092799823	0.112870790730123	0.000209138913891389	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
29	-0.0314547058210119	0.0009893985182864	-0.0510233192102735	-0.0118619488816096	0.67152249131811	0.112870790730123	0.000208864886488649	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
30	-0.0630697513199539	0.00397779353156082	-0.0825677534151138	-0.0435234838098732	0.675500284849671	0.112870790730123	0.000208318831883188	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
31	-0.0345138989655098	0.00119120922180142	-0.0540773869761629	-0.0149239246228413	0.676691494071472	0.112870790730123	0.000207500750075008	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
32	-0.020734564120344	0.000429922149260659	-0.0403182488301648	-0.00113495536283766	0.677121416220733	0.112870790730123	0.000207126712671267	HGDP1KG	q1	eurasia-lat	even	odd	pruneall
