FID	IID	long
0	HG01519	-3.716667
0	HG01520	-3.716667
0	HG01521	-3.716667
0	HG01522	-3.716667
0	HG01523	-3.716667
0	HG01524	-3.716667
0	HG01525	-3.716667
0	HG01526	-3.716667
0	HG01527	-3.716667
0	HG01528	-3.716667
0	HG01529	-3.716667
0	HG01530	-3.716667
0	HG01531	-3.716667
0	HG01532	-3.716667
0	HG01536	-3.716667
0	HG01537	-3.716667
0	HG01538	-3.716667
0	HG01601	-3.716667
0	HG01602	-3.716667
0	HG01603	-3.716667
0	HG01604	-3.716667
0	HG01605	-3.716667
0	HG01606	-3.716667
0	HG01607	-3.716667
0	HG01608	-3.716667
0	HG01609	-3.716667
0	HG01610	-3.716667
0	HG01611	-3.716667
0	HG01612	-3.716667
0	HG01613	-3.716667
0	HG01614	-3.716667
0	HG01615	-3.716667
0	HG01616	-3.716667
0	HG01617	-3.716667
0	HG01618	-3.716667
0	HG01619	-3.716667
0	HG01620	-3.716667
0	HG01621	-3.716667
0	HG01622	-3.716667
0	HG01623	-3.716667
0	HG01624	-3.716667
0	HG01625	-3.716667
0	HG01626	-3.716667
0	HG01627	-3.716667
0	HG01628	-3.716667
0	HG01629	-3.716667
0	HG01630	-3.716667
0	HG01631	-3.716667
0	HG01632	-3.716667
0	HG01633	-3.716667
0	HG01667	-3.716667
0	HG01668	-3.716667
0	HG01669	-3.716667
0	HG01670	-3.716667
0	HG01671	-3.716667
0	HG01672	-3.716667
0	HG01673	-3.716667
0	HG01674	-3.716667
0	HG01675	-3.716667
0	HG01676	-3.716667
0	HG01677	-3.716667
0	HG01678	-3.716667
0	HG01679	-3.716667
0	HG01680	-3.716667
0	HG01681	-3.716667
0	HG01682	-3.716667
0	HG01683	-3.716667
0	HG01684	-3.716667
0	HG01685	-3.716667
0	HG01686	-3.716667
0	HG01687	-3.716667
0	HG01694	-3.716667
0	HG01695	-3.716667
0	HG01696	-3.716667
0	HG01697	-3.716667
0	HG01698	-3.716667
0	HG01699	-3.716667
0	HG01700	-3.716667
0	HG01701	-3.716667
0	HG01702	-3.716667
0	HG01703	-3.716667
0	HG01704	-3.716667
0	HG01705	-3.716667
0	HG01706	-3.716667
0	HG01707	-3.716667
0	HG01708	-3.716667
0	HG01709	-3.716667
0	HG01710	-3.716667
0	HG01711	-3.716667
0	HG01746	-3.716667
0	HG01747	-3.716667
0	HG01748	-3.716667
0	HG01755	-3.716667
0	HG01756	-3.716667
0	HG01757	-3.716667
0	HG01761	-3.716667
0	HG01762	-3.716667
0	HG01763	-3.716667
0	HG01765	-3.716667
0	HG01766	-3.716667
0	HG01767	-3.716667
0	HG01768	-3.716667
0	HG01770	-3.716667
0	HG01771	-3.716667
0	HG01772	-3.716667
0	HG01773	-3.716667
0	HG01774	-3.716667
0	HG01775	-3.716667
0	HG01779	-3.716667
0	HG01780	-3.716667
0	HG01781	-3.716667
0	HG01782	-3.716667
0	HG01783	-3.716667
0	HG01784	-3.716667
0	HG01785	-3.716667
0	HG01786	-3.716667
0	HG01789	-1.891667
0	HG01790	-1.891667
0	HG01791	-1.891667
0	HG02215	-1.891667
0	HG02219	-3.716667
0	HG02220	-3.716667
0	HG02221	-3.716667
0	HG02222	-3.716667
0	HG02223	-3.716667
0	HG02224	-3.716667
0	HG02225	-3.716667
0	HG02229	-3.716667
0	HG02230	-3.716667
0	HG02231	-3.716667
0	HG02235	-3.716667
0	HG02236	-3.716667
0	HG02237	-3.716667
0	HG02238	-3.716667
0	HG02239	-3.716667
0	HG02240	-3.716667
0	NA20502	12
0	NA20503	12
0	NA20504	12
0	NA20505	12
0	NA20506	12
0	NA20507	12
0	NA20508	12
0	NA20509	12
0	NA20510	12
0	NA20511	12
0	NA20512	12
0	NA20513	12
0	NA20514	12
0	NA20515	12
0	NA20516	12
0	NA20517	12
0	NA20518	12
0	NA20519	12
0	NA20520	12
0	NA20521	12
0	NA20522	12
0	NA20524	12
0	NA20525	12
0	NA20527	12
0	NA20528	12
0	NA20529	12
0	NA20530	12
0	NA20531	12
0	NA20532	12
0	NA20533	12
0	NA20534	12
0	NA20535	12
0	NA20536	12
0	NA20538	12
0	NA20539	12
0	NA20540	12
0	NA20541	12
0	NA20542	12
0	NA20543	12
0	NA20544	12
0	NA20581	12
0	NA20582	12
0	NA20585	12
0	NA20586	12
0	NA20587	12
0	NA20588	12
0	NA20589	12
0	NA20752	12
0	NA20753	12
0	NA20754	12
0	NA20755	12
0	NA20756	12
0	NA20757	12
0	NA20758	12
0	NA20759	12
0	NA20760	12
