PC	B	B2	lc	uc	r2	dataset	gwas	contrasts	gwas_type	test_type	L
1	0.226841177174897	0.051456919662093	0.20816663747415	0.245350394065696	0.051456919662093	HGDP	q1	AFRICA-EUROPE	even	odd	1000
2	-0.0236703092274989	0.000560283538925421	-0.0432503136912956	-0.0040721284474951	0.0520172032010184	HGDP	q1	AFRICA-EUROPE	even	odd	1000
3	-0.0894856277025468	0.0080076775653188	-0.10889470460703	-0.0700083470602348	0.0600248807663372	HGDP	q1	AFRICA-EUROPE	even	odd	1000
4	-0.00590168643224942	3.48299027445969e-05	-0.0254988068989726	0.0136999682927103	0.0600597106690818	HGDP	q1	AFRICA-EUROPE	even	odd	1000
5	-0.0124232572753327	0.000154337321329106	-0.0320155316007736	0.007178560682719	0.0602140479904109	HGDP	q1	AFRICA-EUROPE	even	odd	1000
6	0.00411493613071936	1.69326993598996e-05	-0.0154863828952079	0.0237130935998492	0.0602309806897708	HGDP	q1	AFRICA-EUROPE	even	odd	1000
7	0.0508592210421795	0.00258666036501727	0.031290342639529	0.0703891240477324	0.0628176410547881	HGDP	q1	AFRICA-EUROPE	even	odd	1000
8	0.0218550322971966	0.000477642436711504	0.00225592864503176	0.0414373521883887	0.0632952834914996	HGDP	q1	AFRICA-EUROPE	even	odd	1000
9	-0.00261513713328761	6.83894222589976e-06	-0.022214068511773	0.0169858035079763	0.0633021224337255	HGDP	q1	AFRICA-EUROPE	even	odd	1000
10	-0.0139901889792598	0.000195725387675401	-0.033581050765671	0.00561141972288083	0.0634978478214009	HGDP	q1	AFRICA-EUROPE	even	odd	1000
11	-0.00505940744778168	2.55976037226687e-05	-0.0246570323417035	0.0145421046183707	0.0635234454251236	HGDP	q1	AFRICA-EUROPE	even	odd	1000
12	-0.0200450853223609	0.000401805445580727	-0.0396295854518147	-0.000445190228830816	0.0639252508707043	HGDP	q1	AFRICA-EUROPE	even	odd	1000
13	0.00982147960133045	9.646146155935e-05	-0.00978047315838587	0.029415886995565	0.0640217123322636	HGDP	q1	AFRICA-EUROPE	even	odd	1000
14	0.0244945927053601	0.000599985071801479	0.00489687367138165	0.0440735032067162	0.0646216974040651	HGDP	q1	AFRICA-EUROPE	even	odd	1000
15	0.00582478592267142	3.39281310449512e-05	-0.0137768569310221	0.0254219535966587	0.0646556255351101	HGDP	q1	AFRICA-EUROPE	even	odd	1000
16	0.0144351552442574	0.000208373706925811	-0.0051663764810424	0.034025598382021	0.0648639992420359	HGDP	q1	AFRICA-EUROPE	even	odd	1000
17	0.00343429922093712	1.17944111389293e-05	-0.01616685901297	0.0230328188263282	0.0648757936531748	HGDP	q1	AFRICA-EUROPE	even	odd	1000
18	-0.0109478064467495	0.000119854465995491	-0.0305413229598194	0.00865412053728698	0.0649956481191703	HGDP	q1	AFRICA-EUROPE	even	odd	1000
19	0.0210256931538499	0.000442079772599849	0.00142621090044849	0.0406090279701635	0.0654377278917702	HGDP	q1	AFRICA-EUROPE	even	odd	1000
20	-0.0013772735960836	1.89688255846904e-06	-0.0209767773372614	0.0182232883374957	0.0654396247743286	HGDP	q1	AFRICA-EUROPE	even	odd	1000
21	0.00193552999143611	3.74627634774866e-06	-0.0176652101673481	0.0215347830387638	0.0654433710506764	HGDP	q1	AFRICA-EUROPE	even	odd	1000
22	0.00794698434234627	6.31545601374968e-05	-0.0116549010440599	0.0275427642435935	0.0655065256108139	HGDP	q1	AFRICA-EUROPE	even	odd	1000
23	0.0107214349867422	0.00011494916817494	-0.00888050117168238	0.0303151345399327	0.0656214747789888	HGDP	q1	AFRICA-EUROPE	even	odd	1000
24	0.0160063849061443	0.000256204357763644	-0.00359481288320037	0.0355952877316121	0.0658776791367525	HGDP	q1	AFRICA-EUROPE	even	odd	1000
25	0.00468508604362158	2.19500312361377e-05	-0.0149163536976476	0.0242829261928517	0.0658996291679886	HGDP	q1	AFRICA-EUROPE	even	odd	1000
26	0.000229701288157821	5.27626817813623e-08	-0.0193704559228865	0.019829682013857	0.0658996819306704	HGDP	q1	AFRICA-EUROPE	even	odd	1000
27	-0.0231372011429039	0.000535330076727194	-0.0427178989724722	-0.00353873592482844	0.0664350120073976	HGDP	q1	AFRICA-EUROPE	even	odd	1000
28	-0.00863397518543927	7.45455275027811e-05	-0.0282292680468279	0.0109679508848256	0.0665095575349004	HGDP	q1	AFRICA-EUROPE	even	odd	1000
29	-0.00291123558827797	8.47529265045617e-06	-0.0225100211591134	0.0166897867401119	0.0665180328275508	HGDP	q1	AFRICA-EUROPE	even	odd	1000
30	-0.0144187623507081	0.000207900707726196	-0.0340092210493373	0.00518277234824088	0.066725933535277	HGDP	q1	AFRICA-EUROPE	even	odd	1000
31	-0.00489992992459703	2.40093132659614e-05	-0.024497647197931	0.0147015519994342	0.066749942848543	HGDP	q1	AFRICA-EUROPE	even	odd	1000
32	0.00952538092976017	9.07328818570387e-05	-0.010076570349238	0.0291200142795874	0.0668406757304	HGDP	q1	AFRICA-EUROPE	even	odd	1000
33	0.0014636780491989	2.1423534317067e-06	-0.0181369122681533	0.0210631437878078	0.0668428180838317	HGDP	q1	AFRICA-EUROPE	even	odd	1000
34	-0.00622504873501778	3.87512317533465e-05	-0.0258219681628913	0.0133766533711933	0.066881569315585	HGDP	q1	AFRICA-EUROPE	even	odd	1000
35	0.000661593629541439	4.37706130649815e-07	-0.0189387219563232	0.0202614008963801	0.0668820070217157	HGDP	q1	AFRICA-EUROPE	even	odd	1000
36	0.00521289678828439	2.71742929253057e-05	-0.0143886433467417	0.0248104318306375	0.066909181314641	HGDP	q1	AFRICA-EUROPE	even	odd	1000
37	0.00882904078235796	7.795196113654e-05	-0.010772893467016	0.0284241919832526	0.0669871332757776	HGDP	q1	AFRICA-EUROPE	even	odd	1000
38	-0.00910197200905062	8.2845894453541e-05	-0.0286969225006201	0.0104999711804643	0.0670699791702311	HGDP	q1	AFRICA-EUROPE	even	odd	1000
39	-0.0108577475940033	0.000117890682815084	-0.0304513371675009	0.00874418328061512	0.0671878698530462	HGDP	q1	AFRICA-EUROPE	even	odd	1000
40	0.0155186887582324	0.000240829700774888	-0.00408262304467387	0.0351080800274296	0.0674286995538211	HGDP	q1	AFRICA-EUROPE	even	odd	1000
1	0.286523984946984	0.0820959939498997	0.268431396181915	0.304414496572563	0.0820959939498997	HGDP	q1	AFRICA-EUROPE	even	odd	3162
2	-0.0203974274483834	0.000416055046512066	-0.039981513201132	-0.00079767635008706	0.0825120489964118	HGDP	q1	AFRICA-EUROPE	even	odd	3162
3	-0.157936769421518	0.0249440231353058	-0.176988957409403	-0.138766260332868	0.107456072131718	HGDP	q1	AFRICA-EUROPE	even	odd	3162
4	-0.000247017694326537	6.10177413103983e-08	-0.0198469916059712	0.0193531460072971	0.107456133149459	HGDP	q1	AFRICA-EUROPE	even	odd	3162
5	-0.0219934506306262	0.000483711870641791	-0.0415755985076286	-0.00239441279561822	0.107939845020101	HGDP	q1	AFRICA-EUROPE	even	odd	3162
6	0.0248006191882621	0.000615070712121193	0.00520307837064783	0.0443791167736721	0.108554915732222	HGDP	q1	AFRICA-EUROPE	even	odd	3162
7	0.086158365525932	0.00742326395010011	0.0666708833108663	0.105580141288131	0.115978179682322	HGDP	q1	AFRICA-EUROPE	even	odd	3162
8	-0.0142075811645663	0.000201855362547739	-0.0337982393849847	0.00539399089996991	0.11618003504487	HGDP	q1	AFRICA-EUROPE	even	odd	3162
9	-0.00269582675952361	7.26748191736355e-06	-0.022294718744535	0.0169051364828517	0.116187302526787	HGDP	q1	AFRICA-EUROPE	even	odd	3162
10	0.00640733933487397	4.10539973522232e-05	-0.0131943876751862	0.0260041436248397	0.116228356524139	HGDP	q1	AFRICA-EUROPE	even	odd	3162
11	0.0161158948666134	0.000259722067351735	-0.00348527603895286	0.035704686734098	0.116488078591491	HGDP	q1	AFRICA-EUROPE	even	odd	3162
12	-0.0157359890505185	0.000247621351398039	-0.0353251638364625	0.00386527310421281	0.116735699942889	HGDP	q1	AFRICA-EUROPE	even	odd	3162
13	0.0215830455690361	0.00046582785603509	0.00198381477849606	0.0411657012773189	0.117201527798924	HGDP	q1	AFRICA-EUROPE	even	odd	3162
14	0.0261106701728921	0.000681767096877556	0.00651393381294698	0.0456873587114454	0.117883294895802	HGDP	q1	AFRICA-EUROPE	even	odd	3162
15	0.0361702248789518	0.00130828516779394	0.0165819104388285	0.0557307851573449	0.119191580063596	HGDP	q1	AFRICA-EUROPE	even	odd	3162
16	0.00885142613963437	7.83477447054027e-05	-0.0107505089529384	0.0284465609885182	0.119269927808301	HGDP	q1	AFRICA-EUROPE	even	odd	3162
17	0.00437802561163232	1.91671082561086e-05	-0.0152233507002574	0.0239760382393053	0.119289094916557	HGDP	q1	AFRICA-EUROPE	even	odd	3162
18	-0.0110310167108592	0.000121683329675254	-0.0306244654371339	0.00857090639579489	0.119410778246232	HGDP	q1	AFRICA-EUROPE	even	odd	3162
19	0.000928403779271625	8.61933577365836e-07	-0.0186720059932228	0.0205281002360937	0.11941164017981	HGDP	q1	AFRICA-EUROPE	even	odd	3162
20	0.00415610182884224	1.72731824117058e-05	-0.0154452263396734	0.0237542368135276	0.119428913362222	HGDP	q1	AFRICA-EUROPE	even	odd	3162
21	-0.0128887346456234	0.000166119480765294	-0.0324805993954408	0.00671303120312581	0.119595032842987	HGDP	q1	AFRICA-EUROPE	even	odd	3162
22	0.00788982740595275	6.22493764957232e-05	-0.0117120537618645	0.0274856469954847	0.119657282219483	HGDP	q1	AFRICA-EUROPE	even	odd	3162
23	0.0090924672888886	8.26729613995092e-05	-0.0105094756383712	0.0286874248191093	0.119739955180882	HGDP	q1	AFRICA-EUROPE	even	odd	3162
24	-0.015020474952519	0.00022561466779925	-0.0346103555842627	0.00458094369024364	0.119965569848681	HGDP	q1	AFRICA-EUROPE	even	odd	3162
25	0.0159164244095131	0.000253332565983744	-0.00368479511247147	0.0355054180337559	0.120218902414665	HGDP	q1	AFRICA-EUROPE	even	odd	3162
26	0.00496501723771128	2.46513961707701e-05	-0.0146364771085809	0.0245626969287133	0.120243553810836	HGDP	q1	AFRICA-EUROPE	even	odd	3162
27	-0.0197888580492943	0.000391598902895121	-0.0393736564667837	-0.000188861299478384	0.120635152713731	HGDP	q1	AFRICA-EUROPE	even	odd	3162
28	-0.0246214678717456	0.000606216680159402	-0.0442002076274472	-0.00502382227830258	0.12124136939389	HGDP	q1	AFRICA-EUROPE	even	odd	3162
29	0.0090673889384462	8.22175421610565e-05	-0.0105345532798481	0.0286623650232733	0.121323586936051	HGDP	q1	AFRICA-EUROPE	even	odd	3162
30	-0.000453020925692743	2.05227959115509e-07	-0.0200529128731561	0.0191472190892231	0.121323792164011	HGDP	q1	AFRICA-EUROPE	even	odd	3162
31	-0.0142935869806462	0.000204306628773298	-0.0338841641544159	0.00530797007745864	0.121528098792784	HGDP	q1	AFRICA-EUROPE	even	odd	3162
