PC	B	B2	lc	uc	r2	dataset	gwas	contrasts	gwas_type	test_type
1	0.999375740824391	0.9987518713483	0.999350788656512	0.999399734254008	0.9987518713483	TestExample	PC_stats	Afr-Eur	even	odd
2	-0.00221490891763358	4.90582151341277e-06	-0.021814031920939	0.0173859158483018	0.998756777169814	TestExample	PC_stats	Afr-Eur	even	odd
3	-0.00136373562350875	1.85977485082679e-06	-0.0209632452924762	0.0182368218363495	0.998758636944664	TestExample	PC_stats	Afr-Eur	even	odd
4	0.000323209155176454	1.04464157989877e-07	-0.019276982965135	0.0199231529456819	0.998758741408822	TestExample	PC_stats	Afr-Eur	even	odd
5	-0.000300854353132732	9.05133417989148e-08	-0.0199008070048497	0.0192993294526311	0.998758831922164	TestExample	PC_stats	Afr-Eur	even	odd
6	-0.00167907190411397	2.8192824591849e-06	-0.0212784416342828	0.0179215878961596	0.998761651204623	TestExample	PC_stats	Afr-Eur	even	odd
7	0.000106197186638216	1.12778424498721e-08	-0.0194939133915291	0.0197062261708012	0.998761662482466	TestExample	PC_stats	Afr-Eur	even	odd
8	-4.0675446966087e-05	1.65449198589096e-09	-0.0196407297906858	0.0195594101487362	0.998761664136958	TestExample	PC_stats	Afr-Eur	even	odd
9	-0.00020091988158284	4.03687988152624e-08	-0.0198009119068523	0.0193992265155465	0.998761704505756	TestExample	PC_stats	Afr-Eur	even	odd
10	-9.1052479267909e-05	8.29055398083301e-09	-0.0196910873399916	0.0195090523393958	0.998761712796311	TestExample	PC_stats	Afr-Eur	even	odd
11	0.000221555287573753	4.90867454518883e-08	-0.019378598866102	0.0198215392146834	0.998761761883056	TestExample	PC_stats	Afr-Eur	even	odd
12	-0.000186045877944566	3.46130687001643e-08	-0.0197860437300208	0.0194140949179167	0.998761796496125	TestExample	PC_stats	Afr-Eur	even	odd
13	-0.000119536800834177	1.42890467536697e-08	-0.0197195606014174	0.0194805788429186	0.998761810785171	TestExample	PC_stats	Afr-Eur	even	odd
14	0.000158467519265831	2.51119546622665e-08	-0.0194416628681694	0.01975847615207	0.998761835897126	TestExample	PC_stats	Afr-Eur	even	odd
15	0.000149991200279397	2.24973601612541e-08	-0.0194501359820967	0.0197500031405959	0.998761858394486	TestExample	PC_stats	Afr-Eur	even	odd
16	3.62646788354257e-06	1.31512693103657e-11	-0.0195964449271394	0.0196036950765987	0.998761858407637	TestExample	PC_stats	Afr-Eur	even	odd
17	0.000309117873855002	9.55538599366372e-08	-0.0192910690076882	0.0199090672522795	0.998761953961497	TestExample	PC_stats	Afr-Eur	even	odd
18	9.52821951481599e-05	9.07869671225203e-09	-0.0195048242329731	0.0196953154155309	0.998761963040194	TestExample	PC_stats	Afr-Eur	even	odd
19	0.000480249071351229	2.30639170533718e-07	-0.0191200009057268	0.0200801300609121	0.998762193679365	TestExample	PC_stats	Afr-Eur	even	odd
20	0.000319748678098616	1.02239217145812e-07	-0.0192804421564192	0.0199196938415823	0.998762295918582	TestExample	PC_stats	Afr-Eur	even	odd
21	-0.000107812778656506	1.16235952416367e-08	-0.0197078411353951	0.0194922984133869	0.998762307542177	TestExample	PC_stats	Afr-Eur	even	odd
22	-0.000469808148020764	2.207196959467e-07	-0.0200696933429404	0.0191304380123939	0.998762528261873	TestExample	PC_stats	Afr-Eur	even	odd
23	0.000503970271659823	2.53986034716875e-07	-0.0190962883607886	0.0201038416910016	0.998762782247908	TestExample	PC_stats	Afr-Eur	even	odd
24	0.000237046390393552	5.61909911986121e-08	-0.0193631135751956	0.0198370242272093	0.998762838438899	TestExample	PC_stats	Afr-Eur	even	odd
25	9.47616597532887e-05	8.97977215919805e-09	-0.0195053445703358	0.0196947950820445	0.998762847418671	TestExample	PC_stats	Afr-Eur	even	odd
26	-9.47973716745227e-05	8.9865416763976e-09	-0.019694830780114	0.0195053088720011	0.998762856405213	TestExample	PC_stats	Afr-Eur	even	odd
27	-9.35235177962397e-05	8.74664838098356e-09	-0.019693557420303	0.0195065822412123	0.998762865151861	TestExample	PC_stats	Afr-Eur	even	odd
28	-5.68820097477129e-05	3.2355630329389e-09	-0.0196569300965327	0.019543209780935	0.998762868387424	TestExample	PC_stats	Afr-Eur	even	odd
29	-0.000234736731441601	5.51013330878864e-08	-0.0198347154768913	0.019365422368212	0.998762923488757	TestExample	PC_stats	Afr-Eur	even	odd
30	-0.000374452447069196	1.40214635116109e-07	-0.0199743758513756	0.0192257586585561	0.998763063703392	TestExample	PC_stats	Afr-Eur	even	odd
31	-0.000230553564403924	5.31549460593542e-08	-0.019830533955005	0.0193696039663676	0.998763116858338	TestExample	PC_stats	Afr-Eur	even	odd
32	0.000155641853769475	2.42243866447987e-08	-0.0194444874655402	0.0197556515894787	0.998763141082725	TestExample	PC_stats	Afr-Eur	even	odd
33	0.000478936758062477	2.29380418223396e-07	-0.0191213127395362	0.0200788182764271	0.998763370463143	TestExample	PC_stats	Afr-Eur	even	odd
34	-0.000173145574107077	2.99793898328694e-08	-0.0197731484727845	0.0194269903567241	0.998763400442533	TestExample	PC_stats	Afr-Eur	even	odd
35	-1.9060688038024e-05	3.6330982848287e-10	-0.0196191233606404	0.0195810166293768	0.998763400805843	TestExample	PC_stats	Afr-Eur	even	odd
36	0.000243639608406871	5.93602587846534e-08	-0.0193565228279566	0.0198436148502603	0.998763460166102	TestExample	PC_stats	Afr-Eur	even	odd
37	0.00028185067840183	7.94398049155719e-08	-0.0193183260438187	0.0198818108475795	0.998763539605907	TestExample	PC_stats	Afr-Eur	even	odd
38	-6.38008106994972e-05	4.07054344591307e-09	-0.0196638462231795	0.0195362936215694	0.99876354367645	TestExample	PC_stats	Afr-Eur	even	odd
39	-3.08557188767287e-05	9.52075387399712e-10	-0.0196309138487323	0.019569226118214	0.998763544628526	TestExample	PC_stats	Afr-Eur	even	odd
40	0.00020969848688392	4.39734554014055e-08	-0.0193904512120337	0.0198096870691163	0.998763588601981	TestExample	PC_stats	Afr-Eur	even	odd
1	0.999795515602449	0.999591073018767	0.999787340403281	0.99980337655617	0.999591073018767	TestExample	PC_stats	Afr-Eur	even	all
2	-0.00256371640973194	6.57264182952884e-06	-0.0221626727592476	0.0170372096955042	0.999597645660597	TestExample	PC_stats	Afr-Eur	even	all
3	-0.00146651777863283	2.15067439504617e-06	-0.0210659822633017	0.0181340734666018	0.999599796334992	TestExample	PC_stats	Afr-Eur	even	all
4	0.000380536509754462	1.44808035256108e-07	-0.0192196768431436	0.0199804574867953	0.999599941143027	TestExample	PC_stats	Afr-Eur	even	all
5	-0.000273723859389973	7.49247511993416e-08	-0.0198736872390494	0.0193264498292716	0.999600016067778	TestExample	PC_stats	Afr-Eur	even	all
6	-0.00170750580484931	2.91557607359408e-06	-0.0213068627252302	0.0178931630319392	0.999602931643852	TestExample	PC_stats	Afr-Eur	even	all
7	0.000138087442570265	1.90681417955963e-08	-0.019462035234013	0.0197381040230538	0.999602950711994	TestExample	PC_stats	Afr-Eur	even	all
8	7.30612445361436e-05	5.33794545317018e-09	-0.0195270367204147	0.0196731030746709	0.999602956049939	TestExample	PC_stats	Afr-Eur	even	all
9	-0.000405323276101664	1.64286958149786e-07	-0.0200052343493531	0.0191948992173026	0.999603120336897	TestExample	PC_stats	Afr-Eur	even	all
10	-8.81922530020168e-05	7.77787348957175e-09	-0.0196882282225628	0.0195119114769141	0.999603128114771	TestExample	PC_stats	Afr-Eur	even	all
11	0.000321737819800307	1.03515224689855e-07	-0.0192784537538711	0.0199216821941299	0.999603231629995	TestExample	PC_stats	Afr-Eur	even	all
12	-9.09714081322488e-05	8.27579709756417e-09	-0.0196910063002896	0.0195091333796761	0.999603239905792	TestExample	PC_stats	Afr-Eur	even	all
