D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	L
0.000104020212838504	1.0000100001e-05	1.86536891484678e-11	2.28260175482622e-105	0.000104020212838504	99999	3.64508771655605e-12	5.68368012554691e-11	0.0641325274477037	0.935867472552296	InUKBB	e5	England-NorthernIreland	pruneall
0.000169231739541139	1.0000100001e-05	4.93766839461351e-11	5.50332103426727e-114	0.000169231739541139	99999	4.17479595289872e-12	9.2468477846227e-11	0.045148314865108	0.954851685134892	InUKBB	e5	England-RepublicOfIrelend	pruneall
0.000174643624284154	1.0000100001e-05	5.25855351610189e-11	2.02309502379692e-114	0.000174643624284154	99999	4.14496557891552e-12	9.54255398360326e-11	0.0434366479460081	0.956563352053992	InUKBB	e5	England-Scotland	pruneall
7.29140077073622e-05	1.0000100001e-05	9.16476256268773e-12	3.15302835567988e-96	7.29140077073622e-05	99999	3.28404248424085e-12	3.9840323834341e-11	0.0824301152243678	0.917569884775632	InUKBB	e5	England-Wales	pruneall
3.28251501500457e-05	1.0000100001e-05	1.85685773757767e-12	2.81737406718484e-63	3.28251501500457e-05	99999	3.06825210445796e-12	1.7935711573246e-11	0.171069438306242	0.828930561693758	InUKBB	e5	NorthernIreland-RepublicOfIrelend	pruneall
1.18815811777985e-05	1.0000100001e-05	2.43044200112421e-13	6.76983623599219e-05	1.18815811777985e-05	99999	2.91981959394224e-12	6.49211388417082e-12	0.449748671393672	0.550251328606328	InUKBB	e5	NorthernIreland-Scotland	pruneall
6.35472962296019e-05	1.0000100001e-05	6.96111812078507e-12	7.06260702859357e-92	6.35472962296019e-05	99999	3.21495466569322e-12	3.47223385490646e-11	0.0925903841744504	0.90740961582555	InUKBB	e5	NorthernIreland-Wales	pruneall
7.27881165889911e-05	1.0000100001e-05	9.13305849008792e-12	3.54436037498432e-96	7.27881165889911e-05	99999	3.40459604903334e-12	3.97715367373006e-11	0.0856038345091217	0.914396165490878	InUKBB	e5	RepublicOfIrelend-Scotland	pruneall
0.00012181072857966	1.0000100001e-05	2.55807692984815e-11	1.3587554417098e-108	0.00012181072857966	99999	3.66414095308481e-12	6.65575659013003e-11	0.0550522078664723	0.944947792133528	InUKBB	e5	RepublicOfIrelend-Wales	pruneall
8.41471415446855e-05	1.0000100001e-05	1.22066467218778e-11	2.96235866919314e-100	8.41471415446855e-05	99999	3.24109825635976e-12	4.59781251132065e-11	0.0704921796697797	0.92950782033022	InUKBB	e5	Scotland-Wales	pruneall
0.000106510978951629	1.0000100001e-05	1.95578204871596e-11	7.00494148392972e-106	0.000106510978951629	99999	3.63346105225245e-12	5.81355313130611e-11	0.0624998339257654	0.937500166074235	InUKBB	e10	England-NorthernIreland	pruneall
0.00017235227155021	1.0000100001e-05	5.12145817332154e-11	3.06728869223039e-114	0.00017235227155021	99999	4.16224831038451e-12	9.40728456184301e-11	0.0442449495709639	0.955755050429036	InUKBB	e10	England-RepublicOfIrelend	pruneall
0.000177290335366314	1.0000100001e-05	5.41916050814396e-11	1.26710032452482e-114	0.000177290335366314	99999	4.1310607263512e-12	9.67681261090672e-11	0.0426903040541996	0.9573096959458	InUKBB	e10	England-Scotland	pruneall
7.23543660033536e-05	1.0000100001e-05	9.02460133962649e-12	5.36486597373022e-96	7.23543660033536e-05	99999	3.27490909292727e-12	3.94922622233613e-11	0.0829253354595126	0.917074664540488	InUKBB	e10	England-Wales	pruneall
3.30885254619044e-05	1.0000100001e-05	1.88678454721345e-12	1.05437583925095e-63	3.30885254619044e-05	99999	3.06214546819381e-12	1.80602884982135e-11	0.169551304149805	0.830448695850195	InUKBB	e10	NorthernIreland-RepublicOfIrelend	pruneall
1.22980236883422e-05	1.0000100001e-05	2.60394508393474e-13	3.34714401635122e-06	1.22980236883422e-05	99999	2.9121295647169e-12	6.71247366477663e-12	0.433838508745019	0.566161491254981	InUKBB	e10	NorthernIreland-Scotland	pruneall
6.43124107615888e-05	1.0000100001e-05	7.12978368943712e-12	2.82174526110109e-92	6.43124107615888e-05	99999	3.20572344623079e-12	3.51028242013131e-11	0.0913238042570623	0.908676195742938	InUKBB	e10	NorthernIreland-Wales	pruneall
7.40897627250023e-05	1.0000100001e-05	9.46267996758853e-12	1.0558126454302e-96	7.40897627250023e-05	99999	3.39666750368971e-12	4.04394717171151e-11	0.0839938643969017	0.916006135603098	InUKBB	e10	RepublicOfIrelend-Scotland	pruneall
0.000123558518115674	1.0000100001e-05	2.63201998486852e-11	7.31510101744129e-109	0.000123558518115674	99999	3.65398647604131e-12	6.74403725288388e-11	0.0541809948407209	0.945819005159279	InUKBB	e10	RepublicOfIrelend-Wales	pruneall
8.40886714695571e-05	1.0000100001e-05	1.2189690011205e-11	3.09050652200725e-100	8.40886714695571e-05	99999	3.23242414859026e-12	4.58970487494274e-11	0.0704277123838074	0.929572287616193	InUKBB	e10	Scotland-Wales	pruneall
0.000110886981276858	1.0000100001e-05	2.1198099299859e-11	9.9345312148174e-107	0.000110886981276858	99999	3.60582943063889e-12	6.02717718757363e-11	0.0598261726579585	0.940173827342042	InUKBB	e50	England-NorthernIreland	pruneall
0.000175886021841584	1.0000100001e-05	5.33364264950794e-11	1.62133539391863e-114	0.000175886021841584	99999	4.12732582031035e-12	9.56015040043224e-11	0.0431721850330278	0.956827814966972	InUKBB	e50	England-RepublicOfIrelend	pruneall
0.00018062463825093	1.0000100001e-05	5.62493281475816e-11	7.1629048149366e-115	0.00018062463825093	99999	4.09835883957273e-12	9.8177142766799e-11	0.0417445316096395	0.958255468390361	InUKBB	e50	England-Scotland	pruneall
7.46707194708423e-05	1.0000100001e-05	9.61177932844091e-12	6.24083838427656e-97	7.46707194708423e-05	99999	3.2470474509511e-12	4.0586699339456e-11	0.0800027472989043	0.919997252701096	InUKBB	e50	England-Wales	pruneall
3.27241642754042e-05	1.0000100001e-05	1.84545261379214e-12	4.12233941096478e-63	3.27241642754042e-05	99999	3.03579688103906e-12	1.77869695911986e-11	0.170675328671008	0.829324671328992	InUKBB	e50	NorthernIreland-RepublicOfIrelend	pruneall
1.34032379012488e-05	1.0000100001e-05	3.09341205438046e-13	4.71646540860133e-10	1.34032379012488e-05	99999	2.88900553129976e-12	7.28522760632572e-12	0.396556660603335	0.603443339396665	InUKBB	e50	NorthernIreland-Scotland	pruneall
6.50910816380565e-05	1.0000100001e-05	7.30351512540953e-12	1.13191838686248e-92	6.50910816380565e-05	99999	3.18155835681341e-12	3.53797603511156e-11	0.0899259442471915	0.910074055752809	InUKBB	e50	NorthernIreland-Wales	pruneall
7.52996445212148e-05	1.0000100001e-05	9.77431238290741e-12	3.54702229452906e-97	7.52996445212148e-05	99999	3.36869047556644e-12	4.09285467477495e-11	0.0823066232067394	0.917693376793261	InUKBB	e50	RepublicOfIrelend-Scotland	pruneall
0.000124041990195421	1.0000100001e-05	2.65266212821599e-11	6.182929153869e-109	0.000124041990195421	99999	3.62408028052499e-12	6.74220765141437e-11	0.0537521308731085	0.946247869126891	InUKBB	e50	RepublicOfIrelend-Wales	pruneall
8.34538445425243e-05	1.0000100001e-05	1.20063222643209e-11	4.91000196069251e-100	8.34538445425243e-05	99999	3.20763471131677e-12	4.53606998991318e-11	0.0707139598473914	0.929286040152609	InUKBB	e50	Scotland-Wales	pruneall
0.000129812331188678	1.0000100001e-05	2.90524264524132e-11	9.10808043526253e-110	0.000129812331188678	99999	3.44078432685897e-12	6.81612396756707e-11	0.0504800725930328	0.949519927406967	InUKBB	e200	England-NorthernIreland	pruneall
0.000199384965615157	1.0000100001e-05	6.85417492752583e-11	4.08873439112411e-116	0.000199384965615157	99999	3.9237493841443e-12	1.04692106709546e-10	0.0374789418941601	0.96252105810584	InUKBB	e200	England-RepublicOfIrelend	pruneall
0.000196204062475616	1.0000100001e-05	6.63721117588211e-11	6.4007718222832e-116	0.000196204062475616	99999	3.90167205381466e-12	1.03021893261455e-10	0.037872261228133	0.962127738771867	InUKBB	e200	England-Scotland	pruneall
8.15084672532288e-05	1.0000100001e-05	1.1453038882453e-11	2.11426719122251e-99	8.15084672532288e-05	99999	3.10101498162115e-12	4.27980772024563e-11	0.0724568762038491	0.927543123796151	InUKBB	e200	England-Wales	pruneall
3.41349448505423e-05	1.0000100001e-05	2.00806838198133e-12	2.39415328388448e-65	3.41349448505423e-05	99999	2.89960820231221e-12	1.79234140236789e-11	0.161777672405574	0.838222327594426	InUKBB	e200	NorthernIreland-RepublicOfIrelend	pruneall
1.82006984247079e-05	1.0000100001e-05	5.70637354838329e-13	9.34878700088091e-28	1.82006984247079e-05	99999	2.76602762419055e-12	9.55673591430975e-12	0.289432254798298	0.710567745201702	InUKBB	e200	NorthernIreland-Scotland	pruneall
6.93924860976753e-05	1.0000100001e-05	8.30088353767543e-12	1.021255503869e-94	6.93924860976753e-05	99999	3.04008124105847e-12	3.64362756086674e-11	0.0834355649767701	0.91656443502323	InUKBB	e200	NorthernIreland-Wales	pruneall
8.69931419765402e-05	1.0000100001e-05	1.30463606092861e-11	4.02872809528272e-101	8.69931419765402e-05	99999	3.21099487556041e-12	4.56779440451167e-11	0.0702963967114822	0.929703603288518	InUKBB	e200	RepublicOfIrelend-Scotland	pruneall
0.000134088374149505	1.0000100001e-05	3.09980587224082e-11	2.43662063116667e-110	0.000134088374149505	99999	3.45042978245223e-12	7.04064839174733e-11	0.0490072730587802	0.95099272694122	InUKBB	e200	RepublicOfIrelend-Wales	pruneall
8.17630797696463e-05	1.0000100001e-05	1.15247415450086e-11	1.74113886762513e-99	8.17630797696463e-05	99999	3.06403563294364e-12	4.29317679281142e-11	0.071369891826354	0.928630108173646	InUKBB	e200	Scotland-Wales	pruneall
