q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
1.86356513303895	0.0623827978746296	1.26333381719633	0.206469237888332	404	InUKBB	e5	England-NorthernIreland	pruneall	HDL	no-FGr	0
0.468506569688514	0.639422373977313	-0.0709125842319609	0.943467327822064	395	InUKBB	e5	England-NorthernIreland	pruneall	HDL	no-FGr	10
0.575156709318645	0.56518531770359	0.0221227007901103	0.982350078294192	392	InUKBB	e5	England-NorthernIreland	pruneall	HDL	no-FGr	40
2.93812814167601	0.00330200512699532	2.67909700050817	0.00738210052295554	335	InUKBB	e5	England-NorthernIreland	pruneall	SystolicBloodPressure	no-FGr	0
1.01730320582512	0.309009212020832	1.10550341799833	0.268941514177892	333	InUKBB	e5	England-NorthernIreland	pruneall	SystolicBloodPressure	no-FGr	10
1.26344843235364	0.206428067875855	1.41053923381115	0.158380520083044	333	InUKBB	e5	England-NorthernIreland	pruneall	SystolicBloodPressure	no-FGr	40
1.40841694036093	0.159007645904448	0.491031882052779	0.623403898261813	448	InUKBB	e5	England-NorthernIreland	pruneall	HbA1c	no-FGr	0
1.87389526314705	0.060944862481873	1.05617973133552	0.290886109042767	438	InUKBB	e5	England-NorthernIreland	pruneall	HbA1c	no-FGr	10
1.86421847318039	0.0622910301870432	1.07527102990046	0.282253402515756	437	InUKBB	e5	England-NorthernIreland	pruneall	HbA1c	no-FGr	40
1.70222354352058	0.0887134709194329	1.34951760807422	0.177170768508065	405	InUKBB	e5	England-NorthernIreland	pruneall	TotalProtein	no-FGr	0
1.54567764237212	0.122182439427523	1.32114003506497	0.186454676156677	397	InUKBB	e5	England-NorthernIreland	pruneall	TotalProtein	no-FGr	10
1.73453234533493	0.082823671799622	1.59667113661582	0.110339032777047	402	InUKBB	e5	England-NorthernIreland	pruneall	TotalProtein	no-FGr	40
0.361154194139804	0.717984182191402	0.0953340147977607	0.92404952578124	229	InUKBB	e5	England-NorthernIreland	pruneall	BasophillPercentage	no-FGr	0
1.87236654215034	0.0611559105497395	1.36320675537175	0.172817358836396	228	InUKBB	e5	England-NorthernIreland	pruneall	BasophillPercentage	no-FGr	10
1.74087235991821	0.0817059546283626	1.37256582850242	0.169887361148654	229	InUKBB	e5	England-NorthernIreland	pruneall	BasophillPercentage	no-FGr	40
3.78856470400342	0.000151520132451254	3.99271055048562	6.53222866949434e-05	569	InUKBB	e5	England-NorthernIreland	pruneall	BodyWeight	no-FGr	0
1.8426301684036	0.0653830260735179	2.09446897960962	0.0362182235917812	557	InUKBB	e5	England-NorthernIreland	pruneall	BodyWeight	no-FGr	10
1.95594743639777	0.0504713464619779	2.32706774199923	0.0199616600691212	551	InUKBB	e5	England-NorthernIreland	pruneall	BodyWeight	no-FGr	40
1.75763763674685	0.0788091851629656	2.34677184491319	0.018936846576665	308	InUKBB	e5	England-NorthernIreland	pruneall	Cholesterol	no-FGr	0
0.672233554631061	0.501435022588863	1.45580694116304	0.14544599640969	300	InUKBB	e5	England-NorthernIreland	pruneall	Cholesterol	no-FGr	10
0.708171987202465	0.478838459839713	1.35644385402592	0.174957988084595	308	InUKBB	e5	England-NorthernIreland	pruneall	Cholesterol	no-FGr	40
0.890033262182891	0.373448026049827	0.884054448359097	0.376666821225055	378	InUKBB	e5	England-NorthernIreland	pruneall	Triglycerides	no-FGr	0
0.450333683310515	0.652469854982893	0.39595052095076	0.692141529956721	378	InUKBB	e5	England-NorthernIreland	pruneall	Triglycerides	no-FGr	10
0.604838328640024	0.545286423605774	0.728238028689527	0.466467890445772	371	InUKBB	e5	England-NorthernIreland	pruneall	Triglycerides	no-FGr	40
-9.27451518175853	1.78428639015798e-20	-11.247175317245	2.39127877943938e-29	571	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularVolume	no-FGr	0
-2.36889867799543	0.0178411403266579	-2.43572515736385	0.0148619720065954	422	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularVolume	no-FGr	10
-2.61180211542564	0.00900663697220765	-2.74057136064805	0.00613324619120287	428	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularVolume	no-FGr	40
-4.10090260094231	4.11541763215148e-05	-4.0906073318604	4.30245041013122e-05	257	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	0
-2.07587961932125	0.0379050861201509	-1.52727466938067	0.126692725522565	245	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	10
-2.24521039631723	0.0247546290095014	-1.66355781330512	0.0962008283970652	246	InUKBB	e5	England-NorthernIreland	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	40
-1.37410000885573	0.169410636710051	-0.849833959959667	0.395417406002948	246	InUKBB	e5	England-NorthernIreland	pruneall	Glucose	no-FGr	0
-1.64907710401688	0.0991318396092895	-1.21283361468442	0.22519344073231	241	InUKBB	e5	England-NorthernIreland	pruneall	Glucose	no-FGr	10
-1.71426171629381	0.0864806708080112	-1.28668339193325	0.198204664115235	239	InUKBB	e5	England-NorthernIreland	pruneall	Glucose	no-FGr	40
15.1529791695572	7.24085100022571e-52	15.4813900541053	4.63351755918501e-54	1076	InUKBB	e5	England-NorthernIreland	pruneall	StandingHeight	no-FGr	0
1.04565961200841	0.295718216025667	0.827391473545952	0.408015211765881	815	InUKBB	e5	England-NorthernIreland	pruneall	StandingHeight	no-FGr	10
0.65788153975239	0.510614253591753	0.452872488150795	0.650640562638499	807	InUKBB	e5	England-NorthernIreland	pruneall	StandingHeight	no-FGr	40
-5.58817344771295	2.29470391918621e-08	-5.60243830256038	2.11357279159793e-08	563	InUKBB	e5	England-NorthernIreland	pruneall	PlateletCount	no-FGr	0
-1.39733388007998	0.162313192140966	-0.741484497285707	0.458399728098194	516	InUKBB	e5	England-NorthernIreland	pruneall	PlateletCount	no-FGr	10
-1.282299770104	0.199737508586986	-0.695471942546825	0.4867595885654	520	InUKBB	e5	England-NorthernIreland	pruneall	PlateletCount	no-FGr	40
-2.37464708186984	0.0175657362946207	-3.77518591308824	0.0001598883708392	394	InUKBB	e5	England-NorthernIreland	pruneall	AspartateAminotransferase	no-FGr	0
1.44957160785026	0.147178018246522	-0.249260574948232	0.803159225622504	374	InUKBB	e5	England-NorthernIreland	pruneall	AspartateAminotransferase	no-FGr	10
1.59365638478104	0.111013018087527	-0.0821138306301609	0.934556195014046	374	InUKBB	e5	England-NorthernIreland	pruneall	AspartateAminotransferase	no-FGr	40
-1.91549549230385	0.0554293434626787	-2.53206261000473	0.0113393741803245	454	InUKBB	e5	England-NorthernIreland	pruneall	EosinophillPercentage	no-FGr	0
0.962444900507726	0.335826168318842	0.222689188817536	0.823777416171458	440	InUKBB	e5	England-NorthernIreland	pruneall	EosinophillPercentage	no-FGr	10
0.769672618325	0.441494116536526	0.0724974702380225	0.942206018631022	439	InUKBB	e5	England-NorthernIreland	pruneall	EosinophillPercentage	no-FGr	40
-1.47476048062057	0.140276949443174	-2.19210802682834	0.0283717073026118	438	InUKBB	e5	England-NorthernIreland	pruneall	AlkalinePhosphatase	no-FGr	0
