PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
18	0.000781836255473444	6.11267930372736e-07	-0.0188185221225395	0.0203815939291307	0.781465801231293	0.0851768975543851	0.000198437843784378	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
19	0.0176806076722438	0.000312603887659806	-0.001920127733152	0.0372677628610432	0.781778405118953	0.0851768975543851	0.000196973697369737	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
20	-0.0106136883659411	0.000112650380729314	-0.0302074743363333	0.00898825145346137	0.781891055499682	0.0851768975543851	0.000195962596259626	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
21	0.01016766799337	0.000103381472423401	-0.00943428213858303	0.0297618068541624	0.781994436972106	0.0851768975543851	0.000194418441844184	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
22	-0.00955184383613168	9.12377206698468e-05	-0.0291464571315945	0.0100501077150799	0.782085674692776	0.0851768975543851	0.000192449244924492	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
23	8.53725059520745e-06	7.28846477253699e-11	-0.0195915360297971	0.0196086039716003	0.78208567476566	0.0851768975543851	0.000191825182518252	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
24	-0.00279789230565175	7.82820135402528e-06	-0.0223967340958519	0.0168030991596983	0.782093502967014	0.0851768975543851	0.000191354135413541	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
25	-0.0232376071829375	0.000539986387588511	-0.0428181752734417	-0.00363919468379051	0.782633489354603	0.0851768975543851	0.000190618061806181	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
26	-0.018529381232147	0.000343337968846241	-0.038115608515469	0.00107107776096901	0.782976827323449	0.0851768975543851	0.00019002500250025	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
27	-0.00715760211020078	5.12312679679507e-05	-0.026753918818369	0.0124442136844716	0.783028058591417	0.0851768975543851	0.00018968896889689	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
28	-0.0204081216653431	0.000416491429907445	-0.0399921947650385	-0.000808375013717574	0.783444550021325	0.0851768975543851	0.000188949894989499	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
29	-0.0117812381738761	0.000138797572909596	-0.031374063493964	0.0078206377158942	0.783583347594234	0.0851768975543851	0.000188416841684168	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
30	-0.033901319244313	0.00114929944650483	-0.0534658628791481	-0.0143107582864199	0.784732647040739	0.0851768975543851	0.000187844784478448	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
31	0.0104735556417379	0.000109695367780581	-0.00912838825805531	0.0300674533241703	0.78484234240852	0.0851768975543851	0.000187483748374837	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
32	-0.014402914620833	0.000207443949575005	-0.0339933883528321	0.00519862294285404	0.785049786358095	0.0851768975543851	0.000187276727672767	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
33	0.0132230580475929	0.000174849264130011	-0.00637866513144044	0.0328146233898151	0.785224635622225	0.0851768975543851	0.000187006700670067	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
34	0.015694479776664	0.000246316695460114	-0.00390679200509001	0.0352836960586433	0.785470952317685	0.0851768975543851	0.000186432643264326	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
35	-0.00796174379307646	6.33893642265916e-05	-0.0275575134249596	0.0116401426618761	0.785534341681911	0.0851768975543851	0.000186396639663966	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
36	0.00742698374837892	5.51600875986846e-05	-0.0121748585406174	0.0270231200111024	0.78558950176951	0.0851768975543851	0.000186242624262426	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
37	0.0103748743744951	0.000107638018286556	-0.00922707193669173	0.0299688502629467	0.785697139787796	0.0851768975543851	0.000186026602660266	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
38	-0.0093501694951968	8.74256695889088e-05	-0.0289449349334441	0.01025177928877	0.785784565457385	0.0851768975543851	0.000185830583058306	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
39	-0.0157672324759235	0.000248605619949818	-0.035356375983913	0.00383402238811224	0.786033171077335	0.0851768975543851	0.000185451545154515	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
40	-0.00155225095553735	2.40948302896661e-06	-0.0211516774342201	0.0180483681542461	0.786035580560364	0.0851768975543851	0.000185342534253425	InUKBB	q1	England-NorthernIreland	even	odd	pruneall
1	-0.39371632032869	0.155012540893164	-0.410151307064097	-0.377025707734404	0.155012540893164	0.0729131382489602	0.000586356635663566	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
2	-0.0497933128399655	0.00247937400357868	-0.069325724233945	-0.0302227387928211	0.157491914896742	0.0729131382489602	0.000515991599159916	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
3	-0.0870358817586344	0.00757524471350298	-0.10645435028658	-0.0675510477221191	0.165067159610245	0.0729131382489602	0.000388008800880088	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
4	0.748473771681947	0.560212986895799	0.739725578231107	0.756969001725026	0.725280146506044	0.0729131382489602	0.00032035503550355	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
5	-0.22516765804313	0.050700474228628	-0.243692240626467	-0.2064788414962	0.775980620734672	0.0729131382489602	0.000293103310331033	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
6	-0.103875676773978	0.010790156225252	-0.123224864582477	-0.0844475394740829	0.786770776959924	0.0729131382489602	0.00025950295029503	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
7	0.0627003283458036	0.00393133117467158	0.0431532907528718	0.0821993809948517	0.790702108134596	0.0729131382489602	0.000246301630163016	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
8	0.0104849001027924	0.000109933130165536	-0.00911704349531543	0.0300787887701712	0.790812041264761	0.0729131382489602	0.00023031303130313	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
9	0.043021235018502	0.00185082666251718	0.0234409308597626	0.0625685460201859	0.792662867927279	0.0729131382489602	0.000222490249024903	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
10	0.0253177035003972	0.000640986110534025	0.00572047216108275	0.044895495066637	0.793303854037813	0.0729131382489602	0.000218933893389339	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
11	0.0298064754385322	0.000888425978067821	0.0102123715958553	0.0493776985445175	0.794192280015881	0.0729131382489602	0.000215836583658366	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
12	-0.0170026628218516	0.000289090543033575	-0.0365905389031568	0.00259827306355968	0.794481370558914	0.0729131382489602	0.000213668366836684	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
13	0.0142382935335247	0.00020272900274681	-0.00536327320556844	0.0338289228457191	0.794684099561661	0.0729131382489602	0.000212622262226223	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
14	-0.00353229574250462	1.24771132125163e-05	-0.0231307643267849	0.0160688867607771	0.794696576674873	0.0729131382489602	0.000208007800780078	InUKBB	q1	England-RepublicOfIrelend	even	odd	pruneall
