PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
23	-0.00382109078792361	1.46007348095547e-05	-0.0234194068252643	0.0157801610480131	0.974127960684636	0.0291429553321775	0.000224704470447045	TestExample	complete	Afr-Eur	even	odd	1000
24	-8.65566490796813e-05	7.49205349990309e-09	-0.0196865932525785	0.0195135464580983	0.974127968176689	0.0291429553321775	0.000224583458345835	TestExample	complete	Afr-Eur	even	odd	1000
25	0.00218167137654391	4.75968999523099e-06	-0.0174191434840393	0.0217808100113769	0.974132727866684	0.0291429553321775	0.000224147414741474	TestExample	complete	Afr-Eur	even	odd	1000
26	0.00228753434199143	5.23281336579019e-06	-0.0173133119169011	0.0218866230391375	0.97413796068005	0.0291429553321775	0.000224121412141214	TestExample	complete	Afr-Eur	even	odd	1000
27	5.56273392401069e-05	3.09440087093393e-09	-0.0195444639722107	0.0196556759107884	0.974137963774451	0.0291429553321775	0.000223839383938394	TestExample	complete	Afr-Eur	even	odd	1000
28	0.000462337957121518	2.13756386595298e-07	-0.0191379054699549	0.0200622261582373	0.974138177530838	0.0291429553321775	0.000223754375437544	TestExample	complete	Afr-Eur	even	odd	1000
29	0.00120248747518552	1.44597612797804e-06	-0.018398016146816	0.0208020671967461	0.974139623506966	0.0291429553321775	0.000223367336733673	TestExample	complete	Afr-Eur	even	odd	1000
30	-0.000881464385959493	7.76979463714946e-07	-0.0204811805395704	0.01871892901868	0.974140400486429	0.0291429553321775	0.000223120312031203	TestExample	complete	Afr-Eur	even	odd	1000
31	-0.000263952397985395	6.96708684022404e-08	-0.0198639196344124	0.0193362176397825	0.974140470157298	0.0291429553321775	0.000223029302930293	TestExample	complete	Afr-Eur	even	odd	1000
32	-0.00284173069375502	8.0754333358294e-06	-0.0224405507993787	0.0167592727683663	0.974148545590634	0.0291429553321775	0.000222707270727073	TestExample	complete	Afr-Eur	even	odd	1000
33	-0.000245057820780833	6.00533355258507e-08	-0.0198450325042309	0.0193551051468277	0.974148605643969	0.0291429553321775	0.000222519251925192	TestExample	complete	Afr-Eur	even	odd	1000
34	0.000622565962244109	3.87588377344934e-07	-0.0189777356125974	0.0202223892039741	0.974148993232346	0.0291429553321775	0.000222206220622062	TestExample	complete	Afr-Eur	even	odd	1000
35	-0.00388402497857687	1.50856500342091e-05	-0.0234823073393011	0.0157172415325339	0.974164078882381	0.0291429553321775	0.000221751175117512	TestExample	complete	Afr-Eur	even	odd	1000
36	0.00085511967521368	7.3122965893755e-07	-0.0187452645051472	0.0204548468458129	0.97416481011204	0.0291429553321775	0.000221619161916192	TestExample	complete	Afr-Eur	even	odd	1000
