PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
28	0.00472406787339561	2.23168172724486e-05	-0.00147393921109551	0.0109217120181488	0.0178869720604876	0.990201477975659	6.45032450324503e-05	adnaSel	e5	Historical	even	odd	pruneall
29	-0.000198396924902534	3.93613398107816e-08	-0.00639635298771966	0.00599957438065325	0.0178870114218274	0.990201477975659	6.44789447894479e-05	adnaSel	e5	Historical	even	odd	pruneall
30	-0.00231487819897022	5.35866107606763e-06	-0.00851271999058862	0.00388314144266148	0.0178923700829035	0.990201477975659	6.43520435204352e-05	adnaSel	e5	Historical	even	odd	pruneall
31	0.000434964821144373	1.89194395633156e-07	-0.00576301464348256	0.00663291086764194	0.0178925592772991	0.990201477975659	6.43306433064331e-05	adnaSel	e5	Historical	even	odd	pruneall
32	-0.00279996060757535	7.83977940397375e-06	-0.00899776838794651	0.00339806229072126	0.0179003990567031	0.990201477975659	6.42972429724297e-05	adnaSel	e5	Historical	even	odd	pruneall
33	-0.00178736734891422	3.19468203996463e-06	-0.00798524281622527	0.00441064544052239	0.0179035937387431	0.990201477975659	6.42323423234232e-05	adnaSel	e5	Historical	even	odd	pruneall
34	0.00211919057379792	4.49096868807395e-06	-0.0040788269283717	0.00831704526031746	0.0179080847074311	0.990201477975659	6.42146421464215e-05	adnaSel	e5	Historical	even	odd	pruneall
35	0.00354537303342034	1.25696699461041e-05	-0.00265264918427989	0.00974312286525821	0.0179206543773772	0.990201477975659	6.41844418444184e-05	adnaSel	e5	Historical	even	odd	pruneall
36	-0.00323428435911636	1.04605953156247e-05	-0.00943205921240411	0.00296373898006666	0.0179311149726929	0.990201477975659	6.41523415234152e-05	adnaSel	e5	Historical	even	odd	pruneall
37	-0.000545071383000295	2.97102812565855e-07	-0.00674301253099734	0.0056529116425536	0.0179314120755054	0.990201477975659	6.40966409664097e-05	adnaSel	e5	Historical	even	odd	pruneall
38	0.00207060553184105	4.28740726849075e-06	-0.00412741136558843	0.00826846334633647	0.0179356994827739	0.990201477975659	6.4050440504405e-05	adnaSel	e5	Historical	even	odd	pruneall
39	0.00148814691787937	2.21458124919386e-06	-0.00470986045156587	0.00768603995397377	0.0179379140640231	0.990201477975659	6.40362403624036e-05	adnaSel	e5	Historical	even	odd	pruneall
40	0.00208722387275503	4.3565034949985e-06	-0.00411079323481623	0.00828508062062973	0.0179422705675181	0.990201477975659	6.39827398273983e-05	adnaSel	e5	Historical	even	odd	pruneall
1	-0.110728128264439	0.012260718388946	-0.11684590214169	-0.104601951499222	0.012260718388946	0.902179938684124	0.000249531495314953	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
2	0.0200635095767944	0.000402544416538121	0.0138672700840268	0.0262582082203641	0.0126632628054842	0.902179938684124	0.000108156081560816	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
3	-0.101596323659347	0.0103218129810948	-0.107726453279493	-0.0954584690079002	0.022985075786579	0.902179938684124	9.5060150601506e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
4	0.214944006459125	0.0462009259127004	0.209024508157636	0.220847753653268	0.0691860016992793	0.902179938684124	8.80475804758048e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
5	0.0273379170499482	0.000747361708629849	0.0211435356703109	0.0335301996403803	0.0699333634079092	0.902179938684124	7.74474744747448e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
6	0.00225399449602351	5.08049118810426e-06	-0.00394402453083287	0.00845184035045863	0.0699384438990973	0.902179938684124	6.75611756117561e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
7	0.0054711312799012	2.99332774819133e-05	-0.0007268572958756	0.0116686995239041	0.0699683771765792	0.902179938684124	6.7029570295703e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
8	-0.0120080096381008	0.000144192295468721	-0.0182046186836589	-0.00581047815602389	0.0701125694720479	0.902179938684124	6.64731647316473e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
9	0.016470703914686	0.000271284087445252	0.0102737887845172	0.022666353951962	0.0703838535594932	0.902179938684124	6.6169861698617e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
10	-0.002314943062398	5.35896138214465e-06	-0.00851278484966351	0.00388307657986416	0.0703892125208753	0.902179938684124	6.58151581515815e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
11	-0.0195506930306913	0.000382229597980322	-0.0257455372564773	-0.0133543473087808	0.0707714421188556	0.902179938684124	6.56061560615606e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
12	0.0108434476145502	0.000117580356169494	0.00464579591779979	0.0170402663124455	0.0708890224750251	0.902179938684124	6.54754547545475e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
13	-0.000443170703976483	1.96400272863011e-07	-0.00664111639058719	0.00575480903121721	0.070889218875298	0.902179938684124	6.54161541615416e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
14	-0.0126838410874639	0.000160879824732038	-0.0188803207582627	-0.00648638708009267	0.07105009870003	0.902179938684124	6.52835528355284e-05	adnaSel	e5	EuropeanNeolithic	even	all	pruneall
