H	varH	pvalH	M	L	jkFGr	varFGr	error	signal	dataset	gwas	contrasts	nsnp
1.36048995412378e-06	6.03979974152295e-15	1	1e+05	439246	5.30674786066617e-06	5.97593025342495e-06	0.888020381031847	0.111979618968153	adnaSel	e5	Historical	pruneall
2.18513613883625e-06	1.4890854901801e-15	0.991132405095218	1e+05	439246	6.47490875270108e-06	9.59817536347328e-06	0.674597880066031	0.325402119933969	adnaSel	e5	BronzeAge	pruneall
1.41941307560075e-06	3.63056731841121e-16	1	1e+05	439246	5.62486557637038e-06	6.23474911731526e-06	0.902179938684124	0.0978200613158757	adnaSel	e5	EuropeanNeolithic	pruneall
1.44771435651105e-06	5.93794183900199e-15	1	1e+05	439705	5.2834580165011e-06	6.36570711411383e-06	0.82998760731338	0.17001239268662	adnaSel	e10	Historical	pruneall
2.85497606260671e-06	3.92385692881725e-15	9.25233051420666e-21	1e+05	439705	6.46171747326661e-06	1.25535409320378e-05	0.514732656566699	0.485267343433301	adnaSel	e10	BronzeAge	pruneall
1.44423637921073e-06	3.77522146406979e-16	1	1e+05	439705	5.63181464948677e-06	6.35041419065572e-06	0.886842098862414	0.113157901137586	adnaSel	e10	EuropeanNeolithic	pruneall
1.74457246564348e-06	6.2689390309085e-15	0.999999999978975	1e+05	441137	5.27439960653846e-06	7.69599670632295e-06	0.685343277525713	0.314656722474287	adnaSel	e50	Historical	pruneall
4.89844376454514e-06	2.09946894997727e-14	5.17401096451257e-74	1e+05	441137	6.43150783877757e-06	2.16089659904971e-05	0.297631448057529	0.702368551942471	adnaSel	e50	BronzeAge	pruneall
1.5266360089212e-06	4.3895965475785e-16	1	1e+05	441137	5.61372122599568e-06	6.73459310392016e-06	0.833565018609361	0.166434981390639	adnaSel	e50	EuropeanNeolithic	pruneall
2.93857546407928e-06	1.08882228051122e-14	1.04368414046352e-13	1e+05	460332	5.0972861047311e-06	1.3527279706657e-05	0.376815310636522	0.623184689363478	adnaSel	e200	Historical	pruneall
9.81605870081476e-06	1.23667315239529e-13	4.70110408203374e-105	1e+05	460332	6.23912688430349e-06	4.51867148848227e-05	0.138074363232789	0.861925636767211	adnaSel	e200	BronzeAge	pruneall
2.88326828484818e-06	5.29550036340883e-15	7.62036416406986e-23	1e+05	460332	5.43495039368751e-06	1.32726816225205e-05	0.409483972286785	0.590516027713215	adnaSel	e200	EuropeanNeolithic	pruneall
