PC	B	B2	lc	uc	r2	Error	VarExp	dataset	gwas	contrasts	gwas_type	test_type	L
27	-0.00275837984963034	7.60865939484667e-06	-0.00895619065969764	0.00343964288380703	0.0163734109408799	0.992379390248046	6.45456454564546e-05	SDS	e5	Han	even	odd	pruneall
28	0.00308344804830207	9.50765186657781e-06	-0.00311457540279647	0.00928123460183878	0.0163829185927465	0.992379390248046	6.45032450324503e-05	SDS	e5	Han	even	odd	pruneall
29	0.000197446451627074	3.89851012601225e-08	-0.00600052481974834	0.00639540255328822	0.0163829575778477	0.992379390248046	6.44789447894479e-05	SDS	e5	Han	even	odd	pruneall
30	-0.00279268401285618	7.79908399566251e-06	-0.00899049232496838	0.00340533885813735	0.0163907566618434	0.992379390248046	6.43520435204352e-05	SDS	e5	Han	even	odd	pruneall
31	0.00266024850382216	7.07692210208803e-06	-0.0035377737555684	0.00885806637906019	0.0163978335839455	0.992379390248046	6.43306433064331e-05	SDS	e5	Han	even	odd	pruneall
32	0.00057341706023193	3.28807124965028e-07	-0.00562456685771861	0.00677135692284306	0.0163981623910704	0.992379390248046	6.42972429724297e-05	SDS	e5	Han	even	odd	pruneall
33	0.00126571260968686	1.60202841032032e-06	-0.00493229001148178	0.00746361798692698	0.0163997644194808	0.992379390248046	6.42323423234232e-05	SDS	e5	Han	even	odd	pruneall
34	-0.00132751839530664	1.76230508987752e-06	-0.0075254204049536	0.00487048560675333	0.0164015267245706	0.992379390248046	6.42146421464215e-05	SDS	e5	Han	even	odd	pruneall
35	0.00424242517135503	1.79981713345467e-05	-0.00195559017784903	0.0104401145829624	0.0164195248959052	0.992379390248046	6.41844418444184e-05	SDS	e5	Han	even	odd	pruneall
36	0.00450043057864481	2.02538753932012e-05	-0.00169758070097057	0.0106980960993702	0.0164397787712984	0.992379390248046	6.41523415234152e-05	SDS	e5	Han	even	odd	pruneall
37	0.00301771915538109	9.10662890075394e-06	-0.0031803042562589	0.00921551071923714	0.0164488854001991	0.992379390248046	6.40966409664097e-05	SDS	e5	Han	even	odd	pruneall
38	-0.00110771116039921	1.22702401487296e-06	-0.00730562493137534	0.00509028771538228	0.016450112424214	0.992379390248046	6.4050440504405e-05	SDS	e5	Han	even	odd	pruneall
39	0.00133400094472998	1.77955852054047e-06	-0.0048640031994222	0.00753190259842066	0.0164518919827346	0.992379390248046	6.40362403624036e-05	SDS	e5	Han	even	odd	pruneall
40	-0.00046342709155305	2.14764669185319e-07	-0.00666137188620254	0.00573455330796688	0.0164521067474037	0.992379390248046	6.39827398273983e-05	SDS	e5	Han	even	odd	pruneall
1	-0.163945028787717	0.0268779724642053	-0.169970281599789	-0.157907518696171	0.0268779724642053	0.546178009052604	0.000249531495314953	SDS	e5	UK10K	even	odd	pruneall
