q	pval	q_NoSign	pval_NoSign	nsnp	dataset	gwas	contrasts	L	phenotype	covar	pc
0.115510052677456	0.90804085292809	-0.0605669371944647	0.951704105459685	281	SDS	e5	Han	pruneall	HDL	no-FGr	0
-0.33696540908042	0.736142976255171	-0.46063635025465	0.64505952752044	277	SDS	e5	Han	pruneall	HDL	no-FGr	10
-0.38255802588814	0.702047497343035	-0.460287924704974	0.645309567426646	280	SDS	e5	Han	pruneall	HDL	no-FGr	40
-1.9471853423744	0.051512518320558	-2.45378960057631	0.0141359663434696	209	SDS	e5	Han	pruneall	SystolicBloodPressure	no-FGr	0
-1.98791234448924	0.0468213852440582	-2.35975961366085	0.0182867804620457	214	SDS	e5	Han	pruneall	SystolicBloodPressure	no-FGr	10
-1.94719351036489	0.0515115394362004	-2.29281630217277	0.0218585830644646	212	SDS	e5	Han	pruneall	SystolicBloodPressure	no-FGr	40
-1.24633418065505	0.212641734217801	-1.66664202202933	0.0955856078023448	309	SDS	e5	Han	pruneall	HbA1c	no-FGr	0
-0.897407970113721	0.369501261190998	-1.31708326721948	0.187810715143065	305	SDS	e5	Han	pruneall	HbA1c	no-FGr	10
-1.00160153956587	0.316536077122174	-1.26501288995463	0.205866707215029	305	SDS	e5	Han	pruneall	HbA1c	no-FGr	40
-1.17455691013314	0.240172031017638	-0.765536353525114	0.443952227587329	261	SDS	e5	Han	pruneall	TotalProtein	no-FGr	0
-1.21326480439612	0.225028594581722	-0.850404452654366	0.39510026144926	261	SDS	e5	Han	pruneall	TotalProtein	no-FGr	10
-1.22647904340458	0.220018456860142	-0.916329668936022	0.359494011299687	261	SDS	e5	Han	pruneall	TotalProtein	no-FGr	40
0.265071824969127	0.79095413161859	0.682455995015369	0.494950659108551	115	SDS	e5	Han	pruneall	BasophillPercentage	no-FGr	0
0.423253708744569	0.67211016453949	0.924471311876461	0.355240981219826	113	SDS	e5	Han	pruneall	BasophillPercentage	no-FGr	10
0.32538647924937	0.744888587244778	0.73908991915425	0.459852397795137	114	SDS	e5	Han	pruneall	BasophillPercentage	no-FGr	40
-0.00939959373242529	0.992500319718986	-0.182971915598114	0.854820054695972	404	SDS	e5	Han	pruneall	BodyWeight	no-FGr	0
0.150170485782767	0.880630110744976	-0.0157858725594681	0.987405219098332	395	SDS	e5	Han	pruneall	BodyWeight	no-FGr	10
0.273312151241051	0.784613275466432	0.10912341030756	0.913104607025659	381	SDS	e5	Han	pruneall	BodyWeight	no-FGr	40
-0.593245467974271	0.553016887769887	-0.386186209477437	0.699358766297867	182	SDS	e5	Han	pruneall	Cholesterol	no-FGr	0
-0.497254222439616	0.619009788937749	-0.0931719559980447	0.925766953325441	176	SDS	e5	Han	pruneall	Cholesterol	no-FGr	10
-0.463861824307038	0.6427467455189	-0.0926803510389579	0.926157507412803	179	SDS	e5	Han	pruneall	Cholesterol	no-FGr	40
0.181774914133501	0.855759372139445	-0.877263756777069	0.380343393157959	241	SDS	e5	Han	pruneall	Triglycerides	no-FGr	0
0.231220131600257	0.817143790964111	-1.09585418627933	0.27314259089084	247	SDS	e5	Han	pruneall	Triglycerides	no-FGr	10
0.0925136187774535	0.926289971404372	-1.17021808957316	0.241913214887772	238	SDS	e5	Han	pruneall	Triglycerides	no-FGr	40
0.675090417215635	0.499618321531902	0.744029847549851	0.456858418125251	406	SDS	e5	Han	pruneall	MeanCorpuscularVolume	no-FGr	0
0.433944644789843	0.664328638899948	-0.148453896824331	0.881984567723473	311	SDS	e5	Han	pruneall	MeanCorpuscularVolume	no-FGr	10
0.221818028607406	0.824455544253789	-0.560811120488002	0.574926304939262	310	SDS	e5	Han	pruneall	MeanCorpuscularVolume	no-FGr	40
1.09897654696498	0.271778295862267	1.35977198447454	0.173902090499873	132	SDS	e5	Han	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	0
0.655731622064009	0.511996818844534	0.699755797276813	0.484079824001958	134	SDS	e5	Han	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	10
0.604075277445931	0.545793595375957	0.592566204191487	0.553471502134347	134	SDS	e5	Han	pruneall	MeanCorpuscularHaemoglobinConcentration	no-FGr	40
-1.17535099430296	0.239854320792579	-0.230194047633901	0.817940986976381	126	SDS	e5	Han	pruneall	Glucose	no-FGr	0
-1.00603660131373	0.314397963769992	0.00154585861792345	0.99876658376682	126	SDS	e5	Han	pruneall	Glucose	no-FGr	10
-1.24976369258489	0.211385882749822	-0.254468153084227	0.799133904624676	124	SDS	e5	Han	pruneall	Glucose	no-FGr	40
1.33229009211511	0.182764881641175	1.66602402671485	0.095708628999762	819	SDS	e5	Han	pruneall	StandingHeight	no-FGr	0
0.202508596514548	0.83951913858894	0.352470233007776	0.724485638527935	647	SDS	e5	Han	pruneall	StandingHeight	no-FGr	10
0.887308965476194	0.37491257998292	0.899571115103727	0.368348534631682	643	SDS	e5	Han	pruneall	StandingHeight	no-FGr	40
1.30928871083815	0.1904365722262	1.22194874853788	0.221727008934416	254	SDS	e5	Han	pruneall	Educational	no-FGr	0
1.08890478363022	0.276195876540119	0.94913471422869	0.342552100692874	198	SDS	e5	Han	pruneall	Educational	no-FGr	10
1.08088028967547	0.279750367356091	1.14239756644448	0.253288802362461	197	SDS	e5	Han	pruneall	Educational	no-FGr	40
0.959597043322872	0.337258057694357	0.721754019030731	0.470445723819277	408	SDS	e5	Han	pruneall	PlateletCount	no-FGr	0
1.10679571729946	0.268382260294294	0.803153670507491	0.421885919773985	387	SDS	e5	Han	pruneall	PlateletCount	no-FGr	10
