#FID	IID
3653478	3653478
2571428	2571428
4850484	4850484
3878055	3878055
4599068	4599068
3959866	3959866
5892124	5892124
2048755	2048755
1761053	1761053
4176648	4176648
5007459	5007459
3526468	3526468
3105057	3105057
1166158	1166158
1941006	1941006
3524957	3524957
3651051	3651051
2584854	2584854
2265779	2265779
5556351	5556351
5367187	5367187
2031687	2031687
4226365	4226365
2523740	2523740
3273448	3273448
1530705	1530705
1598234	1598234
1552764	1552764
2608570	2608570
5981816	5981816
1970078	1970078
3153648	3153648
5753748	5753748
4727988	4727988
3608973	3608973
4374996	4374996
4173334	4173334
4305229	4305229
5154462	5154462
5309850	5309850
3736637	3736637
1440677	1440677
2153061	2153061
4894140	4894140
1636088	1636088
1423384	1423384
1374781	1374781
2230784	2230784
5578670	5578670
5851301	5851301
2720415	2720415
3214751	3214751
2010749	2010749
3913503	3913503
2053830	2053830
5952749	5952749
2708881	2708881
1430675	1430675
1486119	1486119
2262247	2262247
1177298	1177298
1163515	1163515
3457706	3457706
1218720	1218720
4859529	4859529
3753859	3753859
4991950	4991950
3648775	3648775
5246418	5246418
2780248	2780248
1477293	1477293
5197274	5197274
1287503	1287503
4638469	4638469
4312997	4312997
2352237	2352237
4422850	4422850
3071104	3071104
5190774	5190774
1571407	1571407
2823050	2823050
5564636	5564636
1853855	1853855
2778132	2778132
2676727	2676727
3858885	3858885
3111817	3111817
5302835	5302835
2770395	2770395
2872137	2872137
4532645	4532645
1646778	1646778
1555698	1555698
2560418	2560418
2433275	2433275
1987099	1987099
1228797	1228797
5701902	5701902
2651193	2651193
5245596	5245596
5767568	5767568
1810210	1810210
5880001	5880001
1841418	1841418
3105662	3105662
3924497	3924497
4015973	4015973
5326383	5326383
1179367	1179367
2413417	2413417
5213472	5213472
5082809	5082809
3615562	3615562
5187973	5187973
1152837	1152837
3268474	3268474
3511280	3511280
3404166	3404166
1633707	1633707
1811893	1811893
4141949	4141949
2503531	2503531
3334564	3334564
1384025	1384025
3920619	3920619
1040301	1040301
3784677	3784677
4548400	4548400
5280385	5280385
1160710	1160710
3533519	3533519
2335848	2335848
4216079	4216079
3228351	3228351
3818911	3818911
1430652	1430652
1821270	1821270
2271818	2271818
2486990	2486990
3401218	3401218
3167097	3167097
1155911	1155911
5112024	5112024
5544711	5544711
3635900	3635900
3768258	3768258
5886673	5886673
1061698	1061698
4084901	4084901
4060602	4060602
2080278	2080278
1614195	1614195
2130417	2130417
2734926	2734926
5549307	5549307
4704915	4704915
2317559	2317559
4430217	4430217
4282564	4282564
3624218	3624218
4330528	4330528
3714775	3714775
2455652	2455652
3213609	3213609
3142253	3142253
2681835	2681835
3223461	3223461
5276285	5276285
5707278	5707278
1606314	1606314
6020253	6020253
3073022	3073022
2080339	2080339
4741815	4741815
5428893	5428893
1780710	1780710
4277397	4277397
1591476	1591476
1509479	1509479
1417546	1417546
1991017	1991017
2167308	2167308
4081093	4081093
1908856	1908856
2355631	2355631
2923968	2923968
5243544	5243544
3083744	3083744
5328841	5328841
3994229	3994229
5022645	5022645
1893576	1893576
5516906	5516906
4461389	4461389
3948350	3948350
4477834	4477834
3528007	3528007
2723835	2723835
3498556	3498556
2733203	2733203
1049922	1049922
3433996	3433996
1039466	1039466
4112704	4112704
5524212	5524212
1043946	1043946
3597391	3597391
3460109	3460109
3032673	3032673
5136841	5136841
5514371	5514371
5568626	5568626
3682903	3682903
4790201	4790201
2527346	2527346
4736605	4736605
4713037	4713037
5450504	5450504
2461653	2461653
4821426	4821426
3480504	3480504
2210767	2210767
5758094	5758094
1380397	1380397
2213701	2213701
1825573	1825573
3136520	3136520
1862894	1862894
2764076	2764076
2032190	2032190
1262053	1262053
3175468	3175468
2948700	2948700
3112445	3112445
2741489	2741489
1639143	1639143
3478006	3478006
4478215	4478215
1167067	1167067
2921541	2921541
5334532	5334532
3034285	3034285
5601244	5601244
5026404	5026404
3489386	3489386
4438266	4438266
1446520	1446520
1393231	1393231
3501207	3501207
4997838	4997838
1015045	1015045
4444691	4444691
5547391	5547391
4030502	4030502
1513644	1513644
3936975	3936975
3353437	3353437
5327594	5327594
1315900	1315900
2480359	2480359
2435859	2435859
5619451	5619451
5640453	5640453
4808983	4808983
3135918	3135918
2499440	2499440
1057079	1057079
1476206	1476206
3097465	3097465
3905622	3905622
1006950	1006950
5857605	5857605
4506029	4506029
4953348	4953348
1706093	1706093
2709692	2709692
5784127	5784127
2291650	2291650
4260707	4260707
3141166	3141166
3636018	3636018
1771550	1771550
3433735	3433735
5747150	5747150
4561340	4561340
3819957	3819957
3479173	3479173
4747199	4747199
3002316	3002316
4850760	4850760
2495444	2495444
4507760	4507760
3321148	3321148
3470392	3470392
3655957	3655957
4592357	4592357
2758585	2758585
2095866	2095866
2740814	2740814
3139487	3139487
5583046	5583046
2256335	2256335
2813392	2813392
4308873	4308873
5399320	5399320
5076562	5076562
4162317	4162317
5627070	5627070
3654003	3654003
5524873	5524873
4992319	4992319
3168616	3168616
3518730	3518730
3105888	3105888
6024044	6024044
2402890	2402890
3460372	3460372
5811490	5811490
1333578	1333578
5602295	5602295
4259585	4259585
2721168	2721168
4650718	4650718
2261484	2261484
2530358	2530358
5658047	5658047
2227785	2227785
2562411	2562411
1997927	1997927
2365668	2365668
2840760	2840760
1717960	1717960
5398401	5398401
1964127	1964127
1783724	1783724
3347159	3347159
3871922	3871922
4493600	4493600
3851291	3851291
1743021	1743021
2597401	2597401
4899322	4899322
4538302	4538302
5877245	5877245
5545003	5545003
1142777	1142777
4942143	4942143
2862480	2862480
2081058	2081058
3127882	3127882
4883356	4883356
3726877	3726877
5964397	5964397
2052918	2052918
3500902	3500902
1136979	1136979
4758171	4758171
2144187	2144187
2897682	2897682
2664228	2664228
2216250	2216250
1013925	1013925
5582070	5582070
1641641	1641641
3138316	3138316
2636612	2636612
3068188	3068188
3277461	3277461
4502174	4502174
2349398	2349398
5009267	5009267
1360248	1360248
1626268	1626268
4119549	4119549
5364838	5364838
5373801	5373801
3726729	3726729
1449843	1449843
5791296	5791296
1873158	1873158
3458433	3458433
3907294	3907294
3375441	3375441
1952281	1952281
5235204	5235204
3935637	3935637
3945920	3945920
5600619	5600619
5187880	5187880
1195523	1195523
1398025	1398025
5175868	5175868
5398145	5398145
5690519	5690519
5624258	5624258
4704711	4704711
3684730	3684730
3791120	3791120
4556671	4556671
2738614	2738614
2412112	2412112
1187378	1187378
4065069	4065069
1524669	1524669
5171897	5171897
4732602	4732602
3187818	3187818
2455248	2455248
4402035	4402035
5244758	5244758
5709114	5709114
4695975	4695975
3455920	3455920
4125312	4125312
3896457	3896457
5996091	5996091
3029626	3029626
5037436	5037436
3924326	3924326
5352449	5352449
2474298	2474298
2709352	2709352
5116035	5116035
2961952	2961952
5856826	5856826
5016785	5016785
1962339	1962339
2246934	2246934
4968732	4968732
1483783	1483783
2378105	2378105
3963294	3963294
1939028	1939028
2173558	2173558
2757079	2757079
2172530	2172530
3456921	3456921
1391292	1391292
5022150	5022150
2315740	2315740
1403922	1403922
1013146	1013146
3650991	3650991
5219857	5219857
3638606	3638606
3833705	3833705
2577616	2577616
5096568	5096568
4067393	4067393
4484298	4484298
2567973	2567973
2058327	2058327
3092525	3092525
1259153	1259153
4134289	4134289
2382093	2382093
2399976	2399976
4335505	4335505
4435040	4435040
1488264	1488264
3322674	3322674
3923680	3923680
3705728	3705728
3811001	3811001
4180737	4180737
5958590	5958590
5070148	5070148
4128603	4128603
4428898	4428898
1432497	1432497
3862554	3862554
3424193	3424193
4095491	4095491
5863436	5863436
5710003	5710003
4150856	4150856
1051802	1051802
3564444	3564444
