#FID	IID
2416276	2416276
2091441	2091441
1364436	1364436
1878861	1878861
2660975	2660975
5404174	5404174
2551791	2551791
1325269	1325269
2937652	2937652
3996070	3996070
3534252	3534252
1653212	1653212
2076424	2076424
2650886	2650886
5549695	5549695
4204266	4204266
4558148	4558148
5731631	5731631
3972833	3972833
1635928	1635928
3008331	3008331
3501998	3501998
5875417	5875417
3434012	3434012
2053702	2053702
4331898	4331898
1329428	1329428
5347830	5347830
4812750	4812750
4007064	4007064
5315609	5315609
4477912	4477912
4550819	4550819
4858830	4858830
1228860	1228860
5825684	5825684
5698320	5698320
2011909	2011909
4247675	4247675
4353579	4353579
3343351	3343351
3859979	3859979
4591474	4591474
1748699	1748699
4248417	4248417
4908244	4908244
4492556	4492556
2790331	2790331
4000576	4000576
2246509	2246509
2349453	2349453
5009386	5009386
2232897	2232897
2002222	2002222
3866152	3866152
4763030	4763030
5257991	5257991
1877296	1877296
1481314	1481314
5783154	5783154
4973089	4973089
2740928	2740928
4581461	4581461
3956129	3956129
1278736	1278736
1683318	1683318
4207634	4207634
2387455	2387455
5283093	5283093
3495387	3495387
2969708	2969708
2204250	2204250
5443834	5443834
5450939	5450939
5408812	5408812
1573593	1573593
3260855	3260855
3877685	3877685
2885622	2885622
3192541	3192541
5750357	5750357
1206458	1206458
1927431	1927431
1987790	1987790
5934636	5934636
4143680	4143680
3517093	3517093
2484012	2484012
2318070	2318070
2136153	2136153
2354665	2354665
3826585	3826585
5233484	5233484
5157442	5157442
3059808	3059808
5821654	5821654
3324198	3324198
2776354	2776354
4833572	4833572
3356174	3356174
5118966	5118966
2067993	2067993
2574767	2574767
5978803	5978803
3811297	3811297
5034112	5034112
3586293	3586293
4776507	4776507
4370702	4370702
2949967	2949967
2089321	2089321
2161157	2161157
3523692	3523692
3072319	3072319
2661167	2661167
1287461	1287461
1152510	1152510
3228835	3228835
4754412	4754412
5623581	5623581
2901695	2901695
5481558	5481558
3389286	3389286
5390790	5390790
3830183	3830183
3896725	3896725
5217474	5217474
5379834	5379834
1521657	1521657
5480653	5480653
2613737	2613737
5722061	5722061
4921449	4921449
5390219	5390219
4643602	4643602
2530023	2530023
5064344	5064344
1802903	1802903
3729897	3729897
5877075	5877075
4970537	4970537
4184904	4184904
3066628	3066628
5998603	5998603
2391084	2391084
1247036	1247036
1083038	1083038
2463866	2463866
2591616	2591616
2631052	2631052
1798298	1798298
5879260	5879260
1939496	1939496
2741840	2741840
2290296	2290296
1189509	1189509
2938387	2938387
5829297	5829297
5353873	5353873
2707066	2707066
3264706	3264706
5746989	5746989
5529512	5529512
4029331	4029331
5212852	5212852
3297419	3297419
1951119	1951119
5593306	5593306
1300184	1300184
5477018	5477018
1966468	1966468
1559927	1559927
1037838	1037838
5941406	5941406
1209394	1209394
3041737	3041737
2768017	2768017
5888614	5888614
3606505	3606505
4301116	4301116
5815722	5815722
4201693	4201693
2424461	2424461
4203899	4203899
2011268	2011268
1318956	1318956
1856706	1856706
4903294	4903294
2289390	2289390
3614772	3614772
3257139	3257139
5064688	5064688
1710597	1710597
1781078	1781078
1612502	1612502
2202346	2202346
2877806	2877806
5790657	5790657
5650267	5650267
4513207	4513207
3349681	3349681
2967084	2967084
3181723	3181723
4715549	4715549
1888462	1888462
5128326	5128326
4113245	4113245
5719026	5719026
5687555	5687555
3793564	3793564
1448622	1448622
1647079	1647079
2729624	2729624
2215853	2215853
5437999	5437999
3763163	3763163
1881743	1881743
5582326	5582326
2728651	2728651
1685212	1685212
4774029	4774029
1214666	1214666
1837677	1837677
5956741	5956741
4286744	4286744
3911788	3911788
1489026	1489026
4243210	4243210
5155488	5155488
3359582	3359582
2913180	2913180
2304122	2304122
3772279	3772279
5819662	5819662
1134889	1134889
2890422	2890422
1728837	1728837
1502148	1502148
2491824	2491824
4473609	4473609
1282316	1282316
3079433	3079433
4717716	4717716
2911403	2911403
2520084	2520084
4071541	4071541
3650005	3650005
1074583	1074583
5802210	5802210
3916081	3916081
5905741	5905741
2667480	2667480
5936327	5936327
4956506	4956506
4060673	4060673
1507104	1507104
5948524	5948524
2882769	2882769
4987162	4987162
5562725	5562725
3062929	3062929
1814189	1814189
3334362	3334362
5534517	5534517
5798970	5798970
5988234	5988234
5157030	5157030
1566098	1566098
2236856	2236856
4515898	4515898
2695606	2695606
1003155	1003155
4144399	4144399
4190113	4190113
5696690	5696690
5921438	5921438
1147571	1147571
3108237	3108237
1025639	1025639
3404118	3404118
3662330	3662330
1840921	1840921
2849404	2849404
4389229	4389229
3595394	3595394
1319314	1319314
2239461	2239461
3160951	3160951
3877270	3877270
3324973	3324973
3608357	3608357
2355981	2355981
3647975	3647975
5467141	5467141
4153185	4153185
3569405	3569405
2820804	2820804
1915703	1915703
3887664	3887664
2485896	2485896
2687384	2687384
3759456	3759456
4695583	4695583
3745700	3745700
5734069	5734069
2495101	2495101
5570683	5570683
4281262	4281262
1309423	1309423
3543791	3543791
3467199	3467199
3034751	3034751
1971774	1971774
1632507	1632507
2535811	2535811
3705624	3705624
1058845	1058845
3092802	3092802
5399304	5399304
3933588	3933588
4012350	4012350
1952828	1952828
1017942	1017942
1757346	1757346
2173759	2173759
5178136	5178136
5177531	5177531
5020178	5020178
2972602	2972602
2092552	2092552
3812428	3812428
5341695	5341695
3033783	3033783
1916207	1916207
4265124	4265124
1467100	1467100
4957576	4957576
1499754	1499754
3254538	3254538
5266112	5266112
4894272	4894272
3574508	3574508
5614954	5614954
1787473	1787473
4926417	4926417
4652385	4652385
5665119	5665119
4922682	4922682
1349364	1349364
3898977	3898977
1216718	1216718
5375175	5375175
4794065	4794065
1025445	1025445
3214695	3214695
4973226	4973226
1729811	1729811
3253236	3253236
5318090	5318090
1042468	1042468
2440997	2440997
2969605	2969605
2503323	2503323
3291309	3291309
2412074	2412074
5938550	5938550
4742242	4742242
2131101	2131101
5592657	5592657
2680274	2680274
5179557	5179557
2081848	2081848
3397057	3397057
5332997	5332997
3283298	3283298
2834707	2834707
2497683	2497683
3510887	3510887
4047018	4047018
3239621	3239621
1839148	1839148
4153479	4153479
4306432	4306432
5720307	5720307
3663513	3663513
2885505	2885505
3716351	3716351
1788847	1788847
2019358	2019358
1111350	1111350
4446118	4446118
2011829	2011829
4225861	4225861
3099778	3099778
1132217	1132217
4246829	4246829
1719519	1719519
1895462	1895462
4178905	4178905
5253990	5253990
2760894	2760894
4742625	4742625
4054232	4054232
5116595	5116595
4634381	4634381
1176953	1176953
6017217	6017217
5413127	5413127
5060451	5060451
5869444	5869444
5814007	5814007
3349104	3349104
5537758	5537758
5215611	5215611
2141137	2141137
5491424	5491424
2270840	2270840
2544476	2544476
5024034	5024034
1073638	1073638
4348381	4348381
3301778	3301778
4605761	4605761
3562126	3562126
4162857	4162857
1196272	1196272
5714751	5714751
5562159	5562159
4979832	4979832
3727617	3727617
5111317	5111317
4474383	4474383
1533243	1533243
2005964	2005964
3020433	3020433
4733129	4733129
5415805	5415805
4337334	4337334
2087421	2087421
4161537	4161537
3398464	3398464
4015789	4015789
2718025	2718025
2256006	2256006
3846425	3846425
5994996	5994996
4974794	4974794
1787709	1787709
4396648	4396648
1918267	1918267
3206647	3206647
3052097	3052097
5291652	5291652
1263304	1263304
3476651	3476651
2505461	2505461
3109800	3109800
4607850	4607850
4475417	4475417
2093091	2093091
3123751	3123751
2264344	2264344
4971412	4971412
5005493	5005493
4393103	4393103
3098136	3098136
3002962	3002962
5281860	5281860
5796283	5796283
1693520	1693520
4932481	4932481
5798080	5798080
4492651	4492651
2173125	2173125
5818302	5818302
4479143	4479143
1322272	1322272
1308138	1308138
5631868	5631868
5581415	5581415
4599820	4599820
3889458	3889458
3493087	3493087
5813117	5813117
3363594	3363594
1828658	1828658
1176364	1176364
2100541	2100541
2589095	2589095
2786948	2786948
1971166	1971166
4670386	4670386
4195533	4195533
5765900	5765900
3994556	3994556
5067453	5067453
4015891	4015891
2021492	2021492
1615093	1615093
4996286	4996286
3598097	3598097
3307305	3307305
5885821	5885821
1340102	1340102
3176681	3176681
5288380	5288380
5401052	5401052
3572165	3572165
1104612	1104612
3375248	3375248
2043407	2043407
1816871	1816871
5716955	5716955
4340610	4340610
1921104	1921104
3486896	3486896
4893456	4893456
3575465	3575465
3798413	3798413
5687952	5687952
4912003	4912003
1958504	1958504
5630597	5630597
1839692	1839692
5755649	5755649
4449841	4449841
4474021	4474021
5582084	5582084
4024176	4024176
5600736	5600736
5456057	5456057
1053352	1053352
1190360	1190360
1661354	1661354
6023925	6023925
2019380	2019380
4707426	4707426
1889857	1889857
2849045	2849045
1226951	1226951
4388495	4388495
2225368	2225368
5264414	5264414
3984134	3984134
1747180	1747180
4347636	4347636
1918140	1918140
5985304	5985304
1838226	1838226
2676948	2676948
5789637	5789637
4691281	4691281
1435154	1435154
4856378	4856378
5142404	5142404
1937297	1937297
2080586	2080586
5342402	5342402
5461970	5461970
3226421	3226421
2861703	2861703
5071682	5071682
4425176	4425176
5844471	5844471
4707229	4707229
4909142	4909142
2235186	2235186
1406306	1406306
3191005	3191005
5009607	5009607
4804180	4804180
1722033	1722033
5395397	5395397
1823169	1823169
2340891	2340891
5246644	5246644
1287100	1287100
4347129	4347129
4631321	4631321
1499046	1499046
1039123	1039123
3770899	3770899
5533683	5533683
1089150	1089150
2300921	2300921
5526313	5526313
3507547	3507547
4006861	4006861
3891107	3891107
4325738	4325738
3038410	3038410
3953621	3953621
3710401	3710401
1735214	1735214
4054902	4054902
1091518	1091518
2833974	2833974
2623443	2623443
1388308	1388308
5055768	5055768
4348545	4348545
2151492	2151492
3089385	3089385
5566625	5566625
3683966	3683966
3976773	3976773
2098497	2098497
5023040	5023040
1820802	1820802
4640569	4640569
2873768	2873768
3424580	3424580
2883859	2883859
1452918	1452918
2368273	2368273
4957084	4957084
1570132	1570132
5856195	5856195
2303929	2303929
5014480	5014480
1321816	1321816
2530247	2530247
3856199	3856199
2907020	2907020
2563447	2563447
3503672	3503672
5364514	5364514
2884603	2884603
1079402	1079402
5628473	5628473
5570699	5570699
5017752	5017752
2792853	2792853
1326697	1326697
1245633	1245633
2371136	2371136
5809309	5809309
3005625	3005625
1163661	1163661
2615646	2615646
5547679	5547679
1607643	1607643
2922614	2922614
3023632	3023632
2594337	2594337
1294992	1294992
2627601	2627601
1187829	1187829
1407356	1407356
2633495	2633495
1688375	1688375
2587808	2587808
1729224	1729224
1161600	1161600
3439255	3439255
3872577	3872577
4875977	4875977
5706389	5706389
2190361	2190361
2044800	2044800
5934890	5934890
1820623	1820623
3134824	3134824
1374256	1374256
5078699	5078699
4881456	4881456
5365746	5365746
2996065	2996065
5754668	5754668
3875162	3875162
1011841	1011841
1179688	1179688
2951903	2951903
5791833	5791833
4700581	4700581
5801963	5801963
2477508	2477508
5858908	5858908
5422274	5422274
5936979	5936979
5163031	5163031
3994616	3994616
3738792	3738792
4336305	4336305
5921974	5921974
4100883	4100883
1848999	1848999
1326143	1326143
1584394	1584394
4626216	4626216
1900172	1900172
2038820	2038820
3742165	3742165
3216777	3216777
1445171	1445171
3368282	3368282
5290468	5290468
2820924	2820924
5366628	5366628
3978216	3978216
2508554	2508554
4755646	4755646
4998268	4998268
1056468	1056468
5328773	5328773
1224674	1224674
2797423	2797423
5170735	5170735
1276891	1276891
2170356	2170356
1646890	1646890
2661831	2661831
3908488	3908488
5365797	5365797
2388855	2388855
3295950	3295950
3344554	3344554
1487565	1487565
5305722	5305722
5762961	5762961
4681916	4681916
5950562	5950562
5251615	5251615
5616802	5616802
1092403	1092403
5517522	5517522
4396577	4396577
3561287	3561287
2853406	2853406
2679584	2679584
1420416	1420416
2574874	2574874
2319807	2319807
4451764	4451764
2256094	2256094
2702377	2702377
5892426	5892426
4351875	4351875
1150464	1150464
5640828	5640828
2827348	2827348
1671430	1671430
5452853	5452853
3147819	3147819
4223050	4223050
4384588	4384588
4492794	4492794
5605218	5605218
5364601	5364601
4434976	4434976
1320821	1320821
2431289	2431289
4334052	4334052
4268172	4268172
4399653	4399653
2541611	2541611
4668832	4668832
4831830	4831830
4973339	4973339
4638779	4638779
1023173	1023173
3184357	3184357
5667045	5667045
5026479	5026479
5200591	5200591
4488206	4488206
4448957	4448957
5754270	5754270
1090217	1090217
1019526	1019526
1713454	1713454
2437364	2437364
5569729	5569729
2367582	2367582
5857692	5857692
1093072	1093072
5550493	5550493
5613875	5613875
2171501	2171501
4525914	4525914
1688545	1688545
2177731	2177731
2086489	2086489
1615471	1615471
4762568	4762568
2208480	2208480
3562750	3562750
5803193	5803193
3829563	3829563
4331766	4331766
2740142	2740142
4123804	4123804
1295388	1295388
2787970	2787970
4205708	4205708
1298568	1298568
3627678	3627678
