#FID	IID	POP
1987010	1987010	Europe
3421370	3421370	Europe
5396870	5396870	Asia
2243164	2243164	Europe
2274427	2274427	Europe
4985474	4985474	Europe
3240045	3240045	Europe
3430498	3430498	Europe
1569951	1569951	Europe
1193599	1193599	Europe
3893169	3893169	Europe
2107075	2107075	Europe
3933244	3933244	Europe
4918143	4918143	Europe
3812827	3812827	Europe
4938673	4938673	Europe
3710230	3710230	Europe
2384929	2384929	Europe
4988181	4988181	Europe
1978952	1978952	Europe
3557603	3557603	Europe
5391846	5391846	Europe
4852490	4852490	Europe
5400970	5400970	Europe
3735237	3735237	Europe
1824508	1824508	Europe
4252952	4252952	Europe
3790440	3790440	Europe
2812884	2812884	Europe
5996404	5996404	Europe
3926649	3926649	Europe
5458972	5458972	Europe
1028528	1028528	Europe
2630564	2630564	Europe
1490213	1490213	Europe
5767527	5767527	Europe
3126660	3126660	Europe
4687860	4687860	Europe
4546286	4546286	Europe
3443020	3443020	Europe
4283065	4283065	Europe
4410458	4410458	Europe
4873417	4873417	Europe
4615080	4615080	Europe
2954121	2954121	Europe
1393535	1393535	Europe
2324710	2324710	Europe
1971447	1971447	Europe
3303072	3303072	Europe
2635525	2635525	Europe
1634909	1634909	Europe
5940470	5940470	Europe
2741444	2741444	Europe
5796577	5796577	Europe
3915256	3915256	Europe
2143127	2143127	Europe
4835819	4835819	Europe
5324643	5324643	Europe
4327605	4327605	Europe
4412930	4412930	Europe
3392437	3392437	Europe
1118666	1118666	Europe
4562469	4562469	Europe
1376379	1376379	Europe
2863634	2863634	
1690863	1690863	Europe
4455323	4455323	Europe
1406595	1406595	Europe
2282414	2282414	Europe
1068713	1068713	Europe
4255016	4255016	Europe
4760438	4760438	Europe
5314582	5314582	Europe
3078383	3078383	Europe
3728730	3728730	Europe
3911694	3911694	Europe
4708263	4708263	Europe
2603336	2603336	Europe
3302403	3302403	Europe
2599249	2599249	Europe
1678554	1678554	Europe
4503930	4503930	Europe
2555591	2555591	Europe
4704988	4704988	Europe
2235245	2235245	Europe
2559557	2559557	Europe
4175568	4175568	Europe
5289083	5289083	Europe
5784235	5784235	Europe
3964471	3964471	Europe
1079559	1079559	Europe
4095895	4095895	
3736086	3736086	Europe
4638005	4638005	Europe
1008693	1008693	Europe
3519166	3519166	Europe
1295667	1295667	Europe
4572394	4572394	Europe
4635008	4635008	Europe
2576661	2576661	Europe
2652549	2652549	Europe
4559514	4559514	Europe
3071790	3071790	Europe
4416244	4416244	Europe
1902594	1902594	Europe
1454421	1454421	Europe
4995604	4995604	Europe
3589839	3589839	Europe
5060769	5060769	Europe
5510156	5510156	Europe
1648137	1648137	Europe
3976750	3976750	Europe
3894339	3894339	Europe
1985259	1985259	Europe
4145221	4145221	Europe
2353709	2353709	Europe
1497780	1497780	Europe
4263235	4263235	Europe
1200235	1200235	Europe
2966571	2966571	Europe
5194156	5194156	Europe
1990170	1990170	Europe
4565934	4565934	Europe
3700176	3700176	Europe
1423512	1423512	Europe
5901170	5901170	Europe
4641633	4641633	Europe
3677939	3677939	
1570015	1570015	Europe
3797340	3797340	Europe
1846043	1846043	Europe
4067155	4067155	Europe
4802296	4802296	Europe
3838000	3838000	Europe
5080501	5080501	Europe
3544572	3544572	Europe
5530977	5530977	Europe
4975784	4975784	Europe
2721610	2721610	Europe
2020588	2020588	Europe
1558587	1558587	Europe
5055954	5055954	Europe
4964120	4964120	Europe
5250805	5250805	Europe
2117061	2117061	Europe
5012189	5012189	Europe
4043581	4043581	Europe
5976388	5976388	Europe
3241582	3241582	Europe
5596469	5596469	Europe
4297932	4297932	Europe
3111613	3111613	Europe
4022841	4022841	Europe
2709812	2709812	Europe
3185011	3185011	Europe
1101523	1101523	Europe
5738982	5738982	Europe
5590236	5590236	Europe
2300112	2300112	Europe
4085534	4085534	Europe
3097738	3097738	Europe
4841283	4841283	Europe
5163580	5163580	Europe
1101780	1101780	Europe
1005533	1005533	Europe
2577818	2577818	Europe
4348714	4348714	Europe
4071800	4071800	Europe
1745624	1745624	Europe
3631019	3631019	Europe
3824449	3824449	Europe
1713882	1713882	
1307598	1307598	Europe
1898699	1898699	Asia
4807440	4807440	Europe
2787185	2787185	Europe
5210555	5210555	Europe
1834748	1834748	Europe
1159201	1159201	Europe
2434798	2434798	Europe
5877291	5877291	Europe
5813952	5813952	Europe
4109153	4109153	Europe
1923063	1923063	Europe
4697318	4697318	Europe
3916912	3916912	Europe
3413802	3413802	Europe
5338740	5338740	Europe
4863959	4863959	Europe
1794432	1794432	Europe
5859335	5859335	Europe
5750836	5750836	Europe
5783435	5783435	Europe
2064880	2064880	Europe
2722335	2722335	Europe
4392315	4392315	Europe
1764186	1764186	Mixed
4548172	4548172	Europe
4040884	4040884	Europe
5829224	5829224	Europe
5768348	5768348	Europe
2255932	2255932	Europe
2151582	2151582	Europe
1903572	1903572	Europe
3582825	3582825	Europe
2441922	2441922	Europe
5395759	5395759	Europe
3707180	3707180	Europe
3445252	3445252	Europe
4512741	4512741	Europe
3896719	3896719	Europe
5120471	5120471	Europe
4916835	4916835	Europe
5013350	5013350	Europe
2826799	2826799	Europe
3198809	3198809	Europe
1763020	1763020	Europe
5553871	5553871	Europe
1148126	1148126	Europe
3340118	3340118	Europe
5630500	5630500	Europe
3242503	3242503	Europe
1278763	1278763	Europe
4776946	4776946	Europe
3860571	3860571	Europe
4188485	4188485	Europe
4373241	4373241	Europe
3537356	3537356	Europe
5599377	5599377	Europe
1088136	1088136	Europe
3166708	3166708	Europe
4262903	4262903	Europe
5433925	5433925	Europe
2479516	2479516	Europe
5492035	5492035	Europe
4692649	4692649	Europe
4253275	4253275	Europe
5073092	5073092	Europe
3217537	3217537	Europe
5447314	5447314	Europe
5051414	5051414	Europe
1374642	1374642	Europe
5564379	5564379	Europe
2370794	2370794	Europe
4952854	4952854	Europe
2398789	2398789	Europe
5479536	5479536	Europe
2093893	2093893	Europe
5481324	5481324	Europe
2709160	2709160	Europe
1012201	1012201	Europe
5161057	5161057	Europe
3150222	3150222	Europe
5429653	5429653	Europe
3438558	3438558	Europe
1160060	1160060	Europe
2233397	2233397	Europe
4684750	4684750	Europe
1021272	1021272	Europe
4948521	4948521	Europe
5180603	5180603	Europe
1568741	1568741	Europe
1758093	1758093	Europe
4935029	4935029	Europe
3568227	3568227	Europe
3485122	3485122	Europe
5377523	5377523	Europe
5308209	5308209	Europe
2775831	2775831	Europe
5152485	5152485	Europe
4839526	4839526	Europe
3991471	3991471	Europe
2986851	2986851	Europe
2169048	2169048	Europe
4741144	4741144	Europe
2249078	2249078	Europe
3245704	3245704	Europe
2906533	2906533	Europe
5476809	5476809	Europe
3665889	3665889	Europe
1676851	1676851	Europe
2495216	2495216	Europe
5308052	5308052	Europe
3474199	3474199	Europe
