#FID	IID
1010751	1010751
4076410	4076410
3884977	3884977
1435885	1435885
2832373	2832373
3674355	3674355
3021707	3021707
3524395	3524395
2090835	2090835
2408760	2408760
5392593	5392593
2941901	2941901
2876000	2876000
4223708	4223708
5564505	5564505
3612609	3612609
3141660	3141660
3664291	3664291
4367506	4367506
2734397	2734397
1749990	1749990
1901895	1901895
5780259	5780259
4356317	4356317
2001322	2001322
4548847	4548847
3998065	3998065
5126673	5126673
2875775	2875775
1971709	1971709
1648384	1648384
5190327	5190327
3493645	3493645
1704746	1704746
2155945	2155945
4584828	4584828
3628071	3628071
4123259	4123259
3333176	3333176
2978380	2978380
5063276	5063276
5414714	5414714
5238647	5238647
3916667	3916667
3275763	3275763
4876042	4876042
5437338	5437338
1155928	1155928
1430809	1430809
2363468	2363468
6014128	6014128
2340817	2340817
3654660	3654660
4124973	4124973
3904968	3904968
4971494	4971494
3640517	3640517
4303887	4303887
3091488	3091488
4931394	4931394
3582211	3582211
5696732	5696732
5291915	5291915
4100807	4100807
4901309	4901309
4895315	4895315
4067552	4067552
2990194	2990194
4512456	4512456
1206524	1206524
1322330	1322330
2912054	2912054
4727441	4727441
2005973	2005973
1550382	1550382
3091693	3091693
3012080	3012080
5195928	5195928
3163835	3163835
5942868	5942868
2285330	2285330
5632549	5632549
1526746	1526746
5764925	5764925
3221020	3221020
1313431	1313431
3471920	3471920
2709806	2709806
3904195	3904195
3721162	3721162
1900576	1900576
1011627	1011627
1531576	1531576
4442520	4442520
1348936	1348936
1152389	1152389
3893976	3893976
3631636	3631636
5521905	5521905
3764392	3764392
2248528	2248528
1353880	1353880
2365463	2365463
4171604	4171604
2509667	2509667
4868229	4868229
5058630	5058630
2310799	2310799
4159754	4159754
3359719	3359719
1683858	1683858
4638334	4638334
4468508	4468508
5631983	5631983
4907448	4907448
5357770	5357770
1952549	1952549
3581913	3581913
4952235	4952235
5283269	5283269
2942075	2942075
2609882	2609882
4184586	4184586
2495786	2495786
2697543	2697543
1039470	1039470
4177460	4177460
1751877	1751877
4627861	4627861
1599490	1599490
3976500	3976500
1565326	1565326
4021219	4021219
3792332	3792332
5304151	5304151
5417226	5417226
2518870	2518870
2587841	2587841
1024501	1024501
5994287	5994287
1333241	1333241
2513505	2513505
3193279	3193279
2344065	2344065
1719608	1719608
4275825	4275825
2954255	2954255
2546376	2546376
3359628	3359628
3173098	3173098
1485098	1485098
5160027	5160027
3924548	3924548
2433977	2433977
3770302	3770302
5833011	5833011
2215762	2215762
1538996	1538996
5435140	5435140
2645889	2645889
5699534	5699534
5260764	5260764
1551915	1551915
4938534	4938534
5646696	5646696
5660430	5660430
1348452	1348452
3310321	3310321
5934959	5934959
5924171	5924171
4828359	4828359
5272926	5272926
2392429	2392429
1711591	1711591
5242384	5242384
4265535	4265535
5738998	5738998
5448122	5448122
4299716	4299716
4419864	4419864
3095558	3095558
2292171	2292171
1545729	1545729
1664149	1664149
1387534	1387534
3525052	3525052
3655465	3655465
5131579	5131579
2975877	2975877
5903245	5903245
3913821	3913821
1556493	1556493
5933659	5933659
4062846	4062846
5130228	5130228
1689431	1689431
1162911	1162911
3753474	3753474
5648240	5648240
2028955	2028955
5454077	5454077
5794941	5794941
2200108	2200108
4037518	4037518
4341826	4341826
4457375	4457375
1017375	1017375
1104830	1104830
2502474	2502474
1043356	1043356
1873071	1873071
5878181	5878181
3247147	3247147
2101854	2101854
5340615	5340615
1820662	1820662
3875097	3875097
5707800	5707800
4110789	4110789
2334149	2334149
4218338	4218338
4730261	4730261
4953886	4953886
4613771	4613771
3189135	3189135
4343370	4343370
3879665	3879665
1638528	1638528
2597851	2597851
5801847	5801847
2656921	2656921
5924801	5924801
4619837	4619837
2434677	2434677
2218664	2218664
3443808	3443808
4121064	4121064
2131125	2131125
2384321	2384321
2221352	2221352
4591016	4591016
2826584	2826584
3938798	3938798
1551083	1551083
3097140	3097140
1311995	1311995
1307855	1307855
5250503	5250503
4607103	4607103
5755467	5755467
1347255	1347255
3115215	3115215
3360211	3360211
4074199	4074199
4207775	4207775
4017419	4017419
4193702	4193702
2619301	2619301
3074777	3074777
4128776	4128776
5101513	5101513
5404507	5404507
5571236	5571236
3672975	3672975
1451602	1451602
2248322	2248322
3868448	3868448
5251425	5251425
3977060	3977060
2870307	2870307
5440459	5440459
2343748	2343748
5859898	5859898
5758174	5758174
5114710	5114710
3084286	3084286
3648211	3648211
2216059	2216059
4538097	4538097
5075845	5075845
4779611	4779611
4065222	4065222
5883819	5883819
5093266	5093266
5515139	5515139
4178832	4178832
1286746	1286746
3340003	3340003
4294613	4294613
2750615	2750615
3969079	3969079
5180347	5180347
3992657	3992657
3797763	3797763
2113982	2113982
5620665	5620665
4950426	4950426
4584663	4584663
3686180	3686180
4082509	4082509
2796018	2796018
1585022	1585022
5428713	5428713
5186560	5186560
4972444	4972444
2505954	2505954
1767974	1767974
2646034	2646034
3058893	3058893
3286320	3286320
3588875	3588875
4069030	4069030
1576869	1576869
5870278	5870278
2868475	2868475
5938359	5938359
4356637	4356637
5432321	5432321
2413796	2413796
2310129	2310129
1220934	1220934
3379183	3379183
1152766	1152766
1823544	1823544
3050369	3050369
2849009	2849009
2671717	2671717
3462207	3462207
1737083	1737083
3500318	3500318
2620828	2620828
1477254	1477254
1813173	1813173
4892586	4892586
5185158	5185158
3695057	3695057
2295494	2295494
3493427	3493427
3219318	3219318
5898489	5898489
1211137	1211137
3504463	3504463
5537473	5537473
3783076	3783076
4618872	4618872
3007124	3007124
4721867	4721867
3704213	3704213
5246543	5246543
3673734	3673734
1681667	1681667
1343395	1343395
4275678	4275678
2870922	2870922
1760884	1760884
5983773	5983773
1272244	1272244
1440285	1440285
4276315	4276315
4643039	4643039
1214324	1214324
2259457	2259457
2191989	2191989
3387324	3387324
3318389	3318389
2821383	2821383
1070655	1070655
1657053	1657053
1702011	1702011
1728770	1728770
4077918	4077918
5568634	5568634
3086990	3086990
4983320	4983320
5336806	5336806
3706299	3706299
4130027	4130027
1685751	1685751
1665781	1665781
1677586	1677586
5415727	5415727
3959544	3959544
1066327	1066327
1522930	1522930
3951005	3951005
4988643	4988643
2984955	2984955
5976347	5976347
1446373	1446373
4098954	4098954
2257937	2257937
4487904	4487904
5531225	5531225
5645682	5645682
2548871	2548871
3475580	3475580
5775028	5775028
5231090	5231090
1493289	1493289
5096198	5096198
4336789	4336789
3491832	3491832
2646624	2646624
5512681	5512681
2053500	2053500
3547305	3547305
5156984	5156984
3537372	3537372
3366788	3366788
4236813	4236813
2506448	2506448
5109448	5109448
1523454	1523454
4504532	4504532
3126800	3126800
4898728	4898728
2988253	2988253
3568641	3568641
4343891	4343891
4475877	4475877
2806739	2806739
5140374	5140374
4840010	4840010
3207875	3207875
2963474	2963474
1343289	1343289
5836307	5836307
2111566	2111566
5024116	5024116
2085928	2085928
4265374	4265374
5570531	5570531
1746255	1746255
4816344	4816344
3356820	3356820
5256137	5256137
4897051	4897051
2525267	2525267
4208448	4208448
4655195	4655195
5059280	5059280
1612738	1612738
4638021	4638021
1022602	1022602
5389559	5389559
2150395	2150395
4495066	4495066
4332194	4332194
1437139	1437139
1355593	1355593
1063554	1063554
2804043	2804043
1924489	1924489
5965932	5965932
4670713	4670713
5400724	5400724
1435509	1435509
3728381	3728381
3028393	3028393
3255088	3255088
3979415	3979415
4474481	4474481
2024749	2024749
1970137	1970137
3968235	3968235
5988157	5988157
2332441	2332441
5540249	5540249
4939453	4939453
4114671	4114671
