#FID	IID	POP
2056703	2056703	Europe
4932737	4932737	Europe
3058058	3058058	Europe
5086598	5086598	Europe
3432152	3432152	Europe
2430283	2430283	Europe
4554913	4554913	Europe
2879816	2879816	Europe
2762672	2762672	Europe
3185192	3185192	Europe
3040879	3040879	Europe
1113756	1113756	Europe
3135228	3135228	Europe
1055013	1055013	Europe
4017085	4017085	Asia
1722974	1722974	Europe
3163930	3163930	Europe
4628866	4628866	Europe
5568547	5568547	Europe
4332058	4332058	Europe
5702417	5702417	Europe
1198940	1198940	Africa
1495925	1495925	Europe
1935743	1935743	Europe
4710556	4710556	Europe
4269628	4269628	Europe
2831095	2831095	Europe
3605258	3605258	Europe
4872272	4872272	
1550382	1550382	Europe
4716104	4716104	Europe
1711073	1711073	Europe
2338238	2338238	Europe
2504827	2504827	Europe
1427521	1427521	Europe
1525717	1525717	Europe
2800384	2800384	Europe
4830888	4830888	Europe
3963829	3963829	Europe
2033971	2033971	Europe
3685231	3685231	Europe
2327631	2327631	Europe
1810982	1810982	Europe
1932712	1932712	Europe
4329879	4329879	Europe
2050771	2050771	Europe
3029825	3029825	Europe
2539522	2539522	Europe
3109118	3109118	Europe
3429245	3429245	Europe
4649057	4649057	Europe
1921151	1921151	Europe
2447178	2447178	Europe
1697678	1697678	Europe
5339809	5339809	Africa
5812505	5812505	Europe
4972132	4972132	Europe
4922604	4922604	Europe
2842730	2842730	Europe
2114288	2114288	Europe
5392190	5392190	Europe
4258665	4258665	Europe
3680549	3680549	Europe
3519660	3519660	Europe
1977661	1977661	Europe
1814576	1814576	Europe
3898213	3898213	Europe
5137518	5137518	Europe
5484104	5484104	Europe
5811509	5811509	Europe
5253319	5253319	Europe
2321572	2321572	Europe
5766831	5766831	Europe
2097508	2097508	Europe
3292130	3292130	Europe
2491090	2491090	Europe
4156629	4156629	Europe
5390950	5390950	Europe
4125394	4125394	Europe
5465773	5465773	Europe
1214435	1214435	Africa
4492821	4492821	Europe
1825437	1825437	Europe
2060903	2060903	Europe
3016915	3016915	Africa
4001221	4001221	Europe
1683370	1683370	Africa
5056277	5056277	Europe
2569752	2569752	Europe
3398371	3398371	Europe
5527940	5527940	Europe
4096868	4096868	Europe
1221478	1221478	Europe
3839695	3839695	Europe
2061827	2061827	Europe
5523275	5523275	Europe
1092352	1092352	Europe
3511364	3511364	Africa
5538974	5538974	Europe
4224244	4224244	Europe
3727129	3727129	Europe
2149162	2149162	Europe
5542995	5542995	Europe
4072021	4072021	Europe
4121435	4121435	Europe
4909422	4909422	Europe
4443815	4443815	Europe
2388719	2388719	Europe
2949538	2949538	Europe
1266580	1266580	Europe
1916813	1916813	Europe
4992928	4992928	Europe
2801595	2801595	Europe
1839381	1839381	Asia
5857885	5857885	Europe
1970083	1970083	Europe
1365666	1365666	Europe
4118071	4118071	Europe
4105425	4105425	Europe
2926511	2926511	Europe
3135984	3135984	Europe
4281696	4281696	Europe
2622393	2622393	Africa
3275473	3275473	Europe
3107440	3107440	Europe
2106490	2106490	Europe
2474618	2474618	Europe
3891990	3891990	Europe
4283436	4283436	Europe
3325982	3325982	Europe
6004279	6004279	Europe
1660608	1660608	Europe
4638018	4638018	Europe
5359126	5359126	Europe
5871185	5871185	Europe
3421950	3421950	Europe
4879910	4879910	Europe
2278596	2278596	Europe
4604470	4604470	Europe
3488796	3488796	Europe
2500032	2500032	Europe
3311429	3311429	Europe
1128219	1128219	Europe
3780402	3780402	Europe
6005273	6005273	Europe
3828327	3828327	Africa
4098589	4098589	Europe
4184904	4184904	Europe
2930141	2930141	Europe
2362277	2362277	Europe
1979494	1979494	Europe
5105607	5105607	Europe
4484509	4484509	Europe
4725718	4725718	Europe
1254821	1254821	Europe
