#FID	IID
5444155	5444155
2757653	2757653
2939661	2939661
3778895	3778895
2856670	2856670
1222810	1222810
5390756	5390756
5158421	5158421
3634954	3634954
5887207	5887207
1781441	1781441
1774677	1774677
6012145	6012145
4332482	4332482
3917894	3917894
1440361	1440361
1108493	1108493
3866247	3866247
1063737	1063737
1368419	1368419
5373746	5373746
4985750	4985750
4925888	4925888
5211057	5211057
4153933	4153933
2164491	2164491
4201170	4201170
3928682	3928682
1456165	1456165
3314808	3314808
4206197	4206197
3464080	3464080
3851470	3851470
4455634	4455634
3436597	3436597
3992101	3992101
2152250	2152250
1233637	1233637
2201914	2201914
4296443	4296443
4206181	4206181
5492717	5492717
2665807	2665807
4599328	4599328
4188742	4188742
1917647	1917647
4235553	4235553
5801608	5801608
2252376	2252376
1051212	1051212
3739521	3739521
2957015	2957015
2275703	2275703
4540337	4540337
4031861	4031861
5842373	5842373
1296986	1296986
3670090	3670090
2499131	2499131
2359992	2359992
1748933	1748933
1778739	1778739
4115397	4115397
4851707	4851707
2991793	2991793
5867240	5867240
4847127	4847127
4245975	4245975
1478796	1478796
5579170	5579170
4982145	4982145
2973778	2973778
5756932	5756932
5520283	5520283
4571958	4571958
3945011	3945011
5876574	5876574
3893954	3893954
4497150	4497150
4056091	4056091
4132709	4132709
5890626	5890626
3117648	3117648
3789392	3789392
2605228	2605228
5575704	5575704
4486664	4486664
5426207	5426207
4022436	4022436
1719519	1719519
2684410	2684410
2222213	2222213
5250317	5250317
5062442	5062442
5012659	5012659
2923807	2923807
4948977	4948977
3802328	3802328
5143731	5143731
2961705	2961705
3241331	3241331
5204521	5204521
4477186	4477186
4976446	4976446
3370352	3370352
4545059	4545059
5051964	5051964
5403333	5403333
5638291	5638291
4918219	4918219
6003482	6003482
3964252	3964252
4078006	4078006
3884494	3884494
3677433	3677433
5169363	5169363
1810488	1810488
1329961	1329961
5330717	5330717
3696569	3696569
5769203	5769203
2497738	2497738
1871375	1871375
4424284	4424284
4773416	4773416
3949156	3949156
4409077	4409077
4908848	4908848
3779437	3779437
5935182	5935182
3694328	3694328
4153323	4153323
1032218	1032218
3758394	3758394
5338651	5338651
1979691	1979691
5917164	5917164
4706289	4706289
2077809	2077809
4436285	4436285
4242467	4242467
5851524	5851524
2732393	2732393
4126825	4126825
3739710	3739710
5215024	5215024
4696240	4696240
2684247	2684247
3775664	3775664
1532072	1532072
4639263	4639263
1197247	1197247
3394725	3394725
4051786	4051786
5954469	5954469
2410062	2410062
1832966	1832966
4001332	4001332
1518174	1518174
5175708	5175708
3589160	3589160
2195984	2195984
4539156	4539156
3554909	3554909
1362399	1362399
1829578	1829578
5426306	5426306
1317744	1317744
4840026	4840026
3812522	3812522
4197864	4197864
3008245	3008245
4839997	4839997
5153510	5153510
5730948	5730948
3651205	3651205
2598642	2598642
3443729	3443729
1552788	1552788
4992612	4992612
2195359	2195359
1695125	1695125
3310845	3310845
2552641	2552641
2344354	2344354
5252244	5252244
5751758	5751758
5680730	5680730
3762196	3762196
3743954	3743954
4849549	4849549
2071962	2071962
2688524	2688524
1044055	1044055
3344623	3344623
1608912	1608912
4476489	4476489
3286343	3286343
3884412	3884412
1920710	1920710
2965986	2965986
3685976	3685976
4896977	4896977
2857701	2857701
1854079	1854079
2597487	2597487
1220786	1220786
5161424	5161424
5842347	5842347
5499273	5499273
5923618	5923618
3284860	3284860
2040831	2040831
1477254	1477254
3153105	3153105
4643136	4643136
2738424	2738424
2249083	2249083
1309165	1309165
1861365	1861365
5985617	5985617
4635100	4635100
4917694	4917694
4500562	4500562
4872848	4872848
4726285	4726285
1766384	1766384
3721081	3721081
2775963	2775963
1261211	1261211
5176567	5176567
4147579	4147579
1902822	1902822
4430940	4430940
4500044	4500044
5775402	5775402
1832738	1832738
1943808	1943808
2708368	2708368
1022006	1022006
3942131	3942131
1356944	1356944
1189934	1189934
1359541	1359541
3657282	3657282
3351809	3351809
4166886	4166886
5856130	5856130
5606574	5606574
2022590	2022590
2767027	2767027
1603389	1603389
4514976	4514976
1903818	1903818
4071450	4071450
1537004	1537004
3550780	3550780
5630016	5630016
5208140	5208140
5444082	5444082
3284063	3284063
4945465	4945465
1695204	1695204
5339553	5339553
2648998	2648998
5584823	5584823
5690716	5690716
3678152	3678152
3361114	3361114
3618000	3618000
2586680	2586680
4327282	4327282
2935335	2935335
4526858	4526858
5706631	5706631
4148100	4148100
3732779	3732779
2407637	2407637
