#FID	IID	POP
3990245	3990245	Europe
1711839	1711839	Europe
4833567	4833567	Europe
4980371	4980371	Europe
1863028	1863028	Europe
1694183	1694183	Europe
3249562	3249562	Europe
4768252	4768252	Europe
3839469	3839469	Europe
3286060	3286060	Europe
3043047	3043047	Europe
1062069	1062069	Europe
1424493	1424493	Europe
4370016	4370016	Europe
4693312	4693312	Europe
2254741	2254741	Europe
4049605	4049605	Europe
5070279	5070279	Europe
4373757	4373757	Europe
1745652	1745652	Europe
2231896	2231896	Europe
5432638	5432638	Europe
1299665	1299665	Europe
1529413	1529413	Europe
2872594	2872594	Europe
2361185	2361185	Europe
4700841	4700841	Europe
2109137	2109137	Europe
2444949	2444949	Europe
3322889	3322889	Europe
4330095	4330095	Europe
2542247	2542247	Europe
5011904	5011904	Europe
3596724	3596724	Europe
3091774	3091774	Europe
4663342	4663342	Europe
1890220	1890220	Europe
1793767	1793767	Europe
5310643	5310643	Europe
3678682	3678682	Europe
5640320	5640320	Europe
2866460	2866460	Europe
5895704	5895704	Europe
1919178	1919178	Europe
2299741	2299741	Europe
4159656	4159656	Europe
5486395	5486395	Europe
4348871	4348871	Europe
4818779	4818779	Europe
1586826	1586826	Europe
1656881	1656881	Europe
5974577	5974577	Europe
3183241	3183241	Europe
4429803	4429803	Europe
3980248	3980248	Europe
1183967	1183967	Europe
5320388	5320388	Europe
2656416	2656416	Europe
4405000	4405000	Europe
2158346	2158346	Europe
5598841	5598841	Europe
5322472	5322472	Europe
2777592	2777592	Europe
1348864	1348864	Europe
1361207	1361207	Europe
5618458	5618458	Europe
4160058	4160058	Europe
4923947	4923947	Europe
3077306	3077306	Europe
4648855	4648855	Europe
3067871	3067871	Europe
2685766	2685766	Europe
1182607	1182607	Europe
4424082	4424082	Europe
1972310	1972310	Europe
1001432	1001432	Europe
5317847	5317847	Europe
5690980	5690980	Europe
3032460	3032460	Europe
5125229	5125229	Europe
2794229	2794229	Europe
1890786	1890786	Europe
2059840	2059840	Europe
5427510	5427510	Europe
2666742	2666742	Europe
5610405	5610405	Europe
4379253	4379253	Europe
3922053	3922053	Europe
3619815	3619815	Europe
2364623	2364623	Europe
1030890	1030890	Europe
3395412	3395412	Europe
2044625	2044625	Europe
5698533	5698533	Europe
1742347	1742347	Europe
3451397	3451397	Africa
4486448	4486448	Europe
2557479	2557479	Europe
3418775	3418775	Europe
5411681	5411681	Europe
5330881	5330881	Africa
5319759	5319759	Europe
4536080	4536080	Europe
4992354	4992354	Europe
5684710	5684710	Europe
5949854	5949854	Europe
1502237	1502237	Europe
5048288	5048288	Europe
4609786	4609786	Europe
3927598	3927598	Europe
1698448	1698448	Europe
4351875	4351875	Europe
1840626	1840626	Europe
4713325	4713325	Europe
3439368	3439368	Europe
4780323	4780323	Europe
3435285	3435285	Europe
2276447	2276447	Europe
1166454	1166454	Europe
1446097	1446097	Europe
1521961	1521961	Europe
2800116	2800116	Europe
3623195	3623195	Europe
4446415	4446415	Europe
2050169	2050169	
3719336	3719336	Europe
3141234	3141234	Europe
4081102	4081102	Europe
1084989	1084989	Europe
1426142	1426142	Europe
2484952	2484952	Europe
5619017	5619017	Europe
4256324	4256324	Europe
2413639	2413639	Europe
1444496	1444496	Europe
5499727	5499727	Europe
4771891	4771891	Europe
4849872	4849872	Europe
4503707	4503707	Europe
1818643	1818643	Europe
4985823	4985823	Europe
5724523	5724523	Europe
5214395	5214395	Europe
2756521	2756521	Europe
5689332	5689332	Europe
3901749	3901749	Europe
2634122	2634122	Europe
4584778	4584778	Europe
2543459	2543459	Europe
1840825	1840825	Europe
5657440	5657440	Europe
5208420	5208420	Europe
2601627	2601627	Europe
3702347	3702347	Europe
3582876	3582876	Europe
3647804	3647804	Europe
1526661	1526661	Europe
2562369	2562369	Europe
5489847	5489847	Europe
2948203	2948203	Europe
5111567	5111567	Europe
2469094	2469094	Europe
1449476	1449476	Europe
3522687	3522687	Europe
5588262	5588262	Europe
5950595	5950595	Asia
4751919	4751919	Europe
2608505	2608505	Europe
5336666	5336666	Europe
5097361	5097361	Europe
1887750	1887750	Europe
5767305	5767305	Europe
6004723	6004723	Europe
3275488	3275488	Europe
2521747	2521747	Europe
1734665	1734665	Europe
2844698	2844698	Europe
2363908	2363908	Europe
1851875	1851875	Europe
1908269	1908269	Europe
1003082	1003082	Europe
3541761	3541761	Europe
1718985	1718985	Europe
1293633	1293633	Europe
3534778	3534778	Europe
3821487	3821487	Europe
3837231	3837231	Europe
3058573	3058573	Europe
5647813	5647813	Europe
3015468	3015468	Europe
3776285	3776285	Europe
3305006	3305006	Europe
1054272	1054272	Europe
1964887	1964887	Europe
1895441	1895441	Europe
3061653	3061653	Europe
2782190	2782190	Europe
5991983	5991983	Europe
4194672	4194672	Europe
3259320	3259320	Europe
5722600	5722600	Europe
1031929	1031929	Europe
2354785	2354785	Europe
3544771	3544771	Europe
3113404	3113404	Europe
4618636	4618636	Europe
2502387	2502387	Europe
2260547	2260547	Europe
6001179	6001179	Europe
2530478	2530478	Europe
2049997	2049997	Europe
2688142	2688142	Europe
4863471	4863471	Europe
3160998	3160998	Europe
4458617	4458617	Europe
5732404	5732404	Europe
4945341	4945341	Europe
3726639	3726639	Europe
5950450	5950450	Europe
1988126	1988126	Europe
3826441	3826441	Europe
