#FID	IID	POP
1301036	1301036	
2418327	2418327	
2590605	2590605	Europe
2763378	2763378	Europe
5415544	5415544	Europe
2344989	2344989	Europe
2014437	2014437	Europe
2700273	2700273	Europe
4482270	4482270	Europe
3613526	3613526	Europe
3500613	3500613	Europe
4746959	4746959	Europe
1656003	1656003	Europe
5947120	5947120	Europe
2472043	2472043	Europe
3418933	3418933	Europe
1025538	1025538	Europe
2290884	2290884	Europe
4825822	4825822	Europe
5720677	5720677	Europe
1597593	1597593	Europe
3674190	3674190	Europe
1298042	1298042	Europe
3079701	3079701	Europe
2909138	2909138	Europe
1494031	1494031	Europe
1536129	1536129	Europe
4894918	4894918	Europe
1648613	1648613	Europe
2795578	2795578	Europe
2337096	2337096	Europe
4874052	4874052	Europe
1835164	1835164	Europe
4067270	4067270	Europe
5774874	5774874	Europe
3204730	3204730	Europe
6001366	6001366	Europe
5437961	5437961	Europe
4158212	4158212	Europe
4760294	4760294	Europe
1059884	1059884	Europe
1264189	1264189	Europe
5398534	5398534	Europe
3804593	3804593	Europe
3907554	3907554	Europe
3040969	3040969	Europe
1394118	1394118	Europe
5987659	5987659	Europe
3613578	3613578	Europe
5502289	5502289	Europe
5166726	5166726	Europe
1332584	1332584	Europe
2752312	2752312	Europe
5747962	5747962	Europe
4457714	4457714	Europe
2707413	2707413	Europe
2800333	2800333	Europe
3328667	3328667	Europe
3009798	3009798	Europe
5831505	5831505	Europe
5077851	5077851	Europe
3760694	3760694	Europe
4780502	4780502	Europe
3401886	3401886	Europe
4035850	4035850	Europe
5496835	5496835	Europe
4554109	4554109	Europe
1612451	1612451	Europe
1130812	1130812	Europe
3202694	3202694	Europe
1446466	1446466	Europe
1962676	1962676	Europe
5529512	5529512	Europe
1673256	1673256	Europe
1095507	1095507	Europe
4833857	4833857	Europe
3079551	3079551	Europe
5984466	5984466	Europe
1028483	1028483	Europe
5476120	5476120	Europe
3960088	3960088	Europe
1335056	1335056	Europe
5900789	5900789	Europe
1790801	1790801	Europe
5821035	5821035	Europe
3740438	3740438	Europe
4504782	4504782	Europe
3241470	3241470	Europe
3953666	3953666	Europe
5707625	5707625	Europe
2127049	2127049	Europe
4055327	4055327	Europe
1550844	1550844	Europe
4861966	4861966	Europe
2687078	2687078	Europe
2628172	2628172	Europe
2767367	2767367	Europe
4509681	4509681	Europe
5301894	5301894	Europe
2173015	2173015	Europe
1829784	1829784	Europe
3469146	3469146	Europe
4467720	4467720	Europe
3275951	3275951	Europe
